"sample_a - RawData"
"Wavelength nm.","T%"
200.00,2.991
200.50,2.680
201.00,2.786
201.50,2.785
202.00,2.852
202.50,2.728
203.00,2.756
203.50,2.534
204.00,2.827
204.50,2.764
205.00,2.503
205.50,2.853
206.00,2.875
206.50,2.855
207.00,2.915
207.50,2.939
208.00,2.895
208.50,2.903
209.00,2.806
209.50,3.032
210.00,2.954
210.50,3.092
211.00,3.117
211.50,3.223
212.00,3.204
212.50,3.103
213.00,3.304
213.50,3.317
214.00,3.447
214.50,3.510
215.00,3.481
215.50,3.550
216.00,3.502
216.50,3.626
217.00,3.758
217.50,3.731
218.00,3.664
218.50,3.712
219.00,3.665
219.50,3.780
220.00,3.749
220.50,3.744
221.00,3.875
221.50,3.937
222.00,3.931
222.50,3.933
223.00,3.951
223.50,3.923
224.00,3.983
224.50,3.987
225.00,3.984
225.50,4.022
226.00,4.017
226.50,3.998
227.00,4.075
227.50,4.125
228.00,4.080
228.50,4.062
229.00,4.139
229.50,4.230
230.00,4.191
230.50,4.131
231.00,4.187
231.50,4.183
232.00,4.230
232.50,4.295
233.00,4.301
233.50,4.279
234.00,4.230
234.50,4.232
235.00,4.272
235.50,4.319
236.00,4.287
236.50,4.265
237.00,4.239
237.50,4.311
238.00,4.324
238.50,4.357
239.00,4.291
239.50,4.332
240.00,4.283
240.50,4.252
241.00,4.323
241.50,4.309
242.00,4.295
242.50,4.257
243.00,4.310
243.50,4.214
244.00,4.267
244.50,4.234
245.00,4.206
245.50,4.229
246.00,4.201
246.50,4.155
247.00,4.157
247.50,4.166
248.00,4.160
248.50,4.109
249.00,4.152
249.50,4.088
250.00,4.174
250.50,4.100
251.00,4.105
251.50,4.084
252.00,4.125
252.50,4.100
253.00,4.135
253.50,4.098
254.00,4.070
254.50,4.092
255.00,4.117
255.50,4.112
256.00,4.111
256.50,4.153
257.00,4.149
257.50,4.225
258.00,4.190
258.50,4.276
259.00,4.210
259.50,4.281
260.00,4.263
260.50,4.292
261.00,4.353
261.50,4.349
262.00,4.368
262.50,4.450
263.00,4.510
263.50,4.561
264.00,4.588
264.50,4.616
265.00,4.699
265.50,4.766
266.00,4.745
266.50,4.809
267.00,4.941
267.50,5.007
268.00,5.028
268.50,5.071
269.00,5.125
269.50,5.252
270.00,5.316
270.50,5.311
271.00,5.441
271.50,5.449
272.00,5.571
272.50,5.678
273.00,5.721
273.50,5.760
274.00,5.817
274.50,5.961
275.00,6.006
275.50,6.044
276.00,6.138
276.50,6.244
277.00,6.358
277.50,6.387
278.00,6.461
278.50,6.570
279.00,6.601
279.50,6.653
280.00,6.756
280.50,6.865
281.00,6.968
281.50,6.999
282.00,7.173
282.50,7.139
283.00,7.305
283.50,7.415
284.00,7.414
284.50,7.593
285.00,7.620
285.50,7.767
286.00,7.887
286.50,7.994
287.00,8.150
287.50,8.215
288.00,8.304
288.50,8.418
289.00,8.559
289.50,8.686
290.00,8.734
290.50,8.893
291.00,9.025
291.50,9.206
292.00,9.287
292.50,9.404
293.00,9.565
293.50,9.786
294.00,9.862
294.50,10.102
295.00,10.197
295.50,10.418
296.00,10.476
296.50,10.775
297.00,10.929
297.50,11.167
298.00,11.229
298.50,11.505
299.00,11.637
299.50,11.889
300.00,12.126
300.50,12.377
301.00,12.485
301.50,12.799
302.00,12.985
302.50,13.388
303.00,13.434
303.50,13.684
304.00,13.990
304.50,14.201
305.00,14.501
305.50,14.686
306.00,15.066
306.50,15.250
307.00,15.313
307.50,15.606
308.00,16.089
308.50,16.273
309.00,16.533
309.50,16.898
310.00,17.204
310.50,17.624
311.00,17.863
311.50,18.108
312.00,18.431
312.50,18.864
313.00,19.431
313.50,19.725
314.00,19.800
314.50,20.241
315.00,20.543
315.50,20.945
316.00,21.289
316.50,21.562
317.00,21.928
317.50,22.431
318.00,22.691
318.50,22.990
319.00,23.374
319.50,23.802
320.00,24.034
320.50,24.337
321.00,24.710
321.50,25.216
322.00,25.553
322.50,25.906
323.00,26.353
323.50,26.729
324.00,27.020
324.50,27.199
325.00,27.759
325.50,27.788
326.00,28.534
326.50,28.742
327.00,28.796
327.50,29.540
328.00,29.696
328.50,30.218
329.00,30.303
329.50,30.913
330.00,31.121
330.50,31.636
331.00,31.778
331.50,31.815
332.00,32.217
332.50,32.520
333.00,32.685
333.50,33.168
334.00,33.530
334.50,33.977
335.00,34.025
335.50,34.219
336.00,34.385
336.50,34.444
337.00,34.630
337.50,34.762
338.00,35.198
338.50,35.011
339.00,35.495
339.50,35.534
340.00,36.046
340.50,37.961
341.00,35.996
341.50,38.122
342.00,37.051
342.50,37.376
343.00,37.016
343.50,38.586
344.00,37.437
344.50,37.238
345.00,36.621
345.50,37.839
346.00,36.765
346.50,37.369
347.00,36.470
347.50,37.121
348.00,36.570
348.50,36.667
349.00,36.209
349.50,35.688
350.00,35.941
350.50,35.198
351.00,35.414
351.50,35.252
352.00,35.074
352.50,34.247
353.00,34.491
353.50,33.642
354.00,33.237
354.50,33.125
355.00,32.453
355.50,32.729
356.00,32.011
356.50,31.609
357.00,30.901
357.50,30.201
358.00,29.760
358.50,29.586
359.00,28.785
359.50,28.530
360.00,27.750
360.50,26.958
361.00,26.347
361.50,25.975
362.00,25.220
362.50,24.787
363.00,24.554
363.50,23.408
364.00,22.994
364.50,22.441
365.00,21.614
365.50,21.243
366.00,20.886
366.50,20.167
367.00,19.436
367.50,18.806
368.00,18.688
368.50,17.889
369.00,17.294
369.50,16.893
370.00,16.215
370.50,15.789
371.00,15.394
371.50,14.969
372.00,14.591
372.50,14.076
373.00,13.657
373.50,13.243
374.00,12.984
374.50,12.438
375.00,12.279
375.50,11.940
376.00,11.555
376.50,11.320
377.00,10.985
