"sample_b.txt - RawData"
"Wavelength nm.","T%"
200.00,0.062
200.50,-0.052
201.00,-0.028
201.50,0.048
202.00,-0.104
202.50,-0.081
203.00,0.015
203.50,-0.062
204.00,-0.031
204.50,0.081
205.00,0.006
205.50,0.016
206.00,0.042
206.50,-0.100
207.00,-0.040
207.50,-0.013
208.00,-0.062
208.50,0.103
209.00,0.007
209.50,0.042
210.00,-0.017
210.50,0.008
211.00,0.019
211.50,0.010
212.00,0.043
212.50,0.053
213.00,0.033
213.50,-0.010
214.00,0.024
214.50,0.074
215.00,-0.004
215.50,0.029
216.00,0.031
216.50,-0.023
217.00,0.014
217.50,0.030
218.00,0.031
218.50,-0.014
219.00,0.050
219.50,0.005
220.00,0.018
220.50,0.020
221.00,0.028
221.50,-0.000
222.00,0.016
222.50,0.007
223.00,0.023
223.50,0.019
224.00,0.006
224.50,0.009
225.00,0.030
225.50,-0.002
226.00,-0.001
226.50,0.020
227.00,0.016
227.50,-0.002
228.00,0.019
228.50,0.019
229.00,0.001
229.50,0.024
230.00,0.009
230.50,-0.003
231.00,0.020
231.50,0.004
232.00,0.015
232.50,0.030
233.00,0.024
233.50,0.012
234.00,0.016
234.50,0.027
235.00,0.020
235.50,0.039
236.00,0.021
236.50,0.019
237.00,0.016
237.50,0.015
238.00,0.012
238.50,0.013
239.00,0.029
239.50,0.002
240.00,0.013
240.50,0.027
241.00,0.019
241.50,0.000
242.00,0.028
242.50,0.018
243.00,0.015
243.50,0.020
244.00,0.013
244.50,0.007
245.00,0.023
245.50,0.030
246.00,0.012
246.50,0.026
247.00,0.017
247.50,0.010
248.00,0.023
248.50,0.021
249.00,0.007
249.50,0.018
250.00,0.023
250.50,0.010
251.00,0.031
251.50,0.016
252.00,0.014
252.50,0.018
253.00,0.024
253.50,0.012
254.00,0.014
254.50,0.018
255.00,0.005
255.50,0.013
256.00,0.025
256.50,0.021
257.00,0.016
257.50,0.023
258.00,0.022
258.50,0.019
259.00,0.024
259.50,0.012
260.00,0.014
260.50,0.015
261.00,0.022
261.50,0.020
262.00,0.021
262.50,0.008
263.00,0.019
263.50,0.021
264.00,0.022
264.50,0.014
265.00,0.013
265.50,0.013
266.00,0.017
266.50,0.020
267.00,0.020
267.50,0.016
268.00,0.022
268.50,0.022
269.00,0.019
269.50,0.019
270.00,0.022
