"sample_bily - RawData"
"Wavelength nm.","T%"
200.00,-0.100
200.50,0.261
201.00,0.106
201.50,0.099
202.00,0.128
202.50,-0.050
203.00,-0.022
203.50,-0.019
204.00,0.039
204.50,0.107
205.00,0.010
205.50,-0.012
206.00,0.105
206.50,0.028
207.00,0.135
207.50,0.105
208.00,0.056
208.50,0.038
209.00,0.084
209.50,-0.039
210.00,0.072
210.50,0.016
211.00,0.011
211.50,-0.001
212.00,0.004
212.50,0.005
213.00,0.086
213.50,0.047
214.00,-0.002
214.50,0.023
215.00,0.008
215.50,0.006
216.00,0.051
216.50,0.003
217.00,-0.001
217.50,-0.000
218.00,0.021
218.50,0.038
219.00,0.033
219.50,0.013
220.00,0.003
220.50,0.003
221.00,0.001
221.50,0.026
222.00,0.013
222.50,0.023
223.00,-0.006
223.50,0.002
224.00,-0.012
224.50,0.021
225.00,0.013
225.50,-0.004
226.00,0.009
226.50,0.023
227.00,0.005
227.50,0.006
228.00,0.011
228.50,-0.026
229.00,0.010
229.50,-0.004
230.00,-0.003
230.50,-0.013
231.00,-0.002
231.50,-0.014
232.00,0.001
232.50,-0.008
233.00,-0.010
233.50,0.009
234.00,0.019
234.50,0.002
235.00,0.008
235.50,0.008
236.00,0.005
236.50,-0.010
237.00,0.001
237.50,0.003
238.00,-0.004
238.50,0.004
239.00,0.006
239.50,-0.002
240.00,0.002
240.50,-0.001
241.00,-0.001
241.50,0.008
242.00,-0.007
242.50,-0.003
243.00,0.012
243.50,-0.007
244.00,0.008
244.50,0.003
245.00,0.014
245.50,-0.007
246.00,-0.002
246.50,-0.001
247.00,-0.004
247.50,0.007
248.00,0.010
248.50,-0.004
249.00,0.005
249.50,0.017
250.00,0.000
250.50,0.013
251.00,0.008
251.50,0.004
252.00,0.004
252.50,0.015
253.00,-0.001
253.50,0.006
254.00,0.007
254.50,0.013
255.00,0.000
255.50,0.022
256.00,0.010
256.50,0.028
257.00,0.031
257.50,0.026
258.00,0.030
258.50,0.053
259.00,0.047
259.50,0.053
260.00,0.071
260.50,0.073
261.00,0.078
261.50,0.113
262.00,0.109
262.50,0.132
263.00,0.147
263.50,0.170
264.00,0.199
264.50,0.223
265.00,0.268
265.50,0.275
266.00,0.331
266.50,0.380
267.00,0.417
267.50,0.470
268.00,0.540
268.50,0.613
269.00,0.669
269.50,0.755
270.00,0.834
270.50,0.928
271.00,1.058
271.50,1.148
272.00,1.255
272.50,1.416
273.00,1.530
273.50,1.730
274.00,1.872
274.50,2.068
275.00,2.208
275.50,2.459
276.00,2.729
276.50,3.026
277.00,3.292
277.50,3.525
278.00,3.774
278.50,4.092
279.00,4.453
279.50,4.845
280.00,5.187
280.50,5.658
281.00,6.062
281.50,6.459
282.00,7.002
282.50,7.433
283.00,8.003
283.50,8.520
284.00,9.122
284.50,9.765
285.00,10.356
285.50,11.034
286.00,11.734
286.50,12.356
287.00,13.006
287.50,13.864
288.00,14.575
288.50,15.394
289.00,15.961
289.50,16.990
290.00,17.648
290.50,18.576
291.00,19.366
291.50,20.216
292.00,21.156
292.50,22.027
293.00,22.943
293.50,23.721
294.00,24.812
294.50,25.703
295.00,26.578
295.50,27.677
296.00,28.628
296.50,29.557
297.00,30.775
297.50,31.570
298.00,32.368
298.50,33.662
299.00,34.432
299.50,35.500
300.00,36.327
300.50,37.303
301.00,38.987
301.50,39.475
302.00,40.538
302.50,41.334
303.00,42.154
303.50,42.899
304.00,44.438
304.50,44.751
305.00,45.856
305.50,46.462
306.00,47.382
306.50,48.198
307.00,49.147
307.50,49.983
308.00,51.034
308.50,51.839
309.00,52.614
309.50,53.114
310.00,54.262
310.50,54.714
311.00,55.623
311.50,56.194
312.00,57.159
312.50,57.778
313.00,58.606
313.50,59.389
314.00,59.675
314.50,60.525
315.00,60.656
315.50,61.231
316.00,61.925
316.50,62.562
317.00,62.938
317.50,63.430
318.00,64.155
318.50,64.356
319.00,65.123
319.50,65.418
320.00,65.243
320.50,66.494
321.00,66.832
321.50,66.968
322.00,67.195
322.50,67.803
323.00,68.091
323.50,68.565
324.00,69.001
324.50,69.032
325.00,69.990
325.50,70.458
326.00,70.652
326.50,70.820
327.00,70.760
327.50,71.649
328.00,72.033
328.50,71.634
329.00,72.039
329.50,71.966
330.00,72.830
330.50,73.160
331.00,73.287
331.50,72.630
332.00,73.387
332.50,73.704
333.00,73.221
333.50,74.072
334.00,74.416
334.50,73.865
335.00,74.620
335.50,74.700
336.00,74.449
336.50,74.794
337.00,74.946
337.50,75.060
338.00,74.895
338.50,75.507
339.00,75.751
339.50,75.700
340.00,75.318
340.50,75.788
341.00,79.349
341.50,80.545
342.00,79.499
342.50,80.003
343.00,79.995
343.50,77.814
344.00,79.515
344.50,79.204
345.00,79.705
345.50,79.048
346.00,79.632
346.50,79.789
347.00,79.898
347.50,80.414
348.00,78.960
348.50,78.652
349.00,79.058
349.50,79.845
350.00,79.688
350.50,79.366
351.00,80.257
351.50,80.479
352.00,80.397
352.50,79.762
353.00,79.106
353.50,79.123
354.00,79.520
354.50,80.120
355.00,80.748
355.50,80.018
356.00,79.974
356.50,79.751
357.00,79.646
357.50,79.903
358.00,80.270
358.50,80.325
359.00,80.174
359.50,80.499
360.00,80.340
360.50,79.758
361.00,79.657
361.50,80.101
362.00,80.143
362.50,79.458
363.00,79.933
363.50,78.801
364.00,77.958
364.50,77.263
365.00,76.818
365.50,76.603
366.00,77.384
366.50,79.412
367.00,79.321
367.50,79.749
368.00,80.237
368.50,80.709
369.00,80.807
369.50,80.727
370.00,80.620
370.50,80.656
371.00,80.734
371.50,80.665
372.00,80.496
372.50,80.822
373.00,80.958
373.50,80.198
374.00,79.840
374.50,79.449
375.00,76.887
375.50,69.085
376.00,63.317
376.50,59.605
377.00,57.948
377.50,58.492
378.00,59.449
378.50,62.692
379.00,67.369
379.50,69.355
380.00,70.916
380.50,71.450
381.00,70.881
381.50,71.068
382.00,72.509
382.50,74.321
383.00,76.262
383.50,77.570
384.00,79.146
384.50,79.481
385.00,79.447
385.50,79.621
386.00,79.602
386.50,79.783
387.00,80.221
387.50,80.444
388.00,81.145
388.50,81.153
389.00,81.020
389.50,81.440
390.00,81.832
390.50,81.677
391.00,82.156
391.50,81.858
392.00,82.073
392.50,81.948
393.00,81.991
393.50,81.780
394.00,81.914
394.50,81.841
395.00,82.214
395.50,81.986
396.00,82.444
396.50,81.914
397.00,82.228
397.50,82.243
398.00,82.108
398.50,82.009
399.00,82.581
399.50,82.378
400.00,82.224
400.50,82.459
401.00,82.170
401.50,82.542
402.00,82.021
402.50,82.015
403.00,82.303
403.50,82.454
404.00,82.222
404.50,82.231
405.00,82.065
405.50,81.467
406.00,81.531
406.50,81.454
407.00,81.278
407.50,81.553
408.00,81.667
408.50,81.767
409.00,81.699
409.50,81.892
410.00,82.228
410.50,82.400
411.00,82.129
411.50,82.167
412.00,81.952
412.50,82.445
413.00,82.320
413.50,82.453
414.00,82.106
414.50,82.684
415.00,82.389
415.50,82.563
416.00,82.476
416.50,82.307
417.00,82.563
417.50,82.430
418.00,82.524
418.50,82.544
419.00,82.590
419.50,82.749
420.00,82.419
420.50,82.659
421.00,82.695
421.50,82.626
422.00,82.478
422.50,82.552
423.00,82.770
423.50,83.161
424.00,82.962
424.50,82.678
425.00,82.612
425.50,82.607
426.00,82.794
426.50,82.953
427.00,82.621
427.50,82.716
428.00,82.648
428.50,82.727
429.00,82.881
429.50,82.742
430.00,83.093
430.50,82.866
431.00,82.629
431.50,82.991
432.00,82.770
432.50,82.828
433.00,82.845
433.50,82.460
434.00,82.806
434.50,82.872
435.00,83.021
435.50,83.104
436.00,82.828
436.50,83.045
437.00,82.893
437.50,83.028
438.00,82.827
438.50,83.091
439.00,82.919
439.50,82.818
440.00,82.826
440.50,82.675
441.00,83.009
441.50,82.494
442.00,82.566
442.50,82.679
443.00,82.685
443.50,82.658
444.00,82.793
444.50,82.653
445.00,82.776
445.50,82.936
446.00,82.845
446.50,82.860
447.00,83.026
447.50,82.795
448.00,82.782
448.50,82.886
449.00,82.677
449.50,82.631
450.00,82.977
450.50,82.777
451.00,82.484
451.50,82.540
452.00,82.370
452.50,82.442
453.00,82.752
453.50,82.610
454.00,82.552
454.50,82.909
455.00,82.950
455.50,83.004
456.00,83.071
456.50,83.215
