"sample_c - RawData"
"Wavelength nm.","T%"
200.00,0.122
200.50,-0.107
201.00,0.071
201.50,0.089
202.00,-0.011
202.50,0.061
203.00,0.089
203.50,0.088
204.00,0.066
204.50,-0.042
205.00,-0.039
205.50,0.027
206.00,-0.088
206.50,0.008
207.00,0.078
207.50,-0.027
208.00,0.100
208.50,0.044
209.00,0.047
209.50,0.040
210.00,0.036
210.50,0.004
211.00,0.005
211.50,0.039
212.00,0.014
212.50,0.070
213.00,-0.011
213.50,0.005
214.00,0.021
214.50,-0.002
215.00,0.032
215.50,0.043
216.00,0.019
216.50,-0.020
217.00,0.009
217.50,-0.001
218.00,-0.003
218.50,-0.006
219.00,0.026
219.50,0.039
220.00,0.005
220.50,0.024
221.00,0.017
221.50,0.011
222.00,0.022
222.50,0.015
223.00,0.017
223.50,0.030
224.00,-0.001
224.50,0.013
225.00,0.023
225.50,0.033
226.00,0.033
226.50,0.027
227.00,0.018
227.50,0.029
228.00,0.006
228.50,0.024
229.00,0.022
229.50,0.037
230.00,0.011
230.50,0.015
231.00,0.021
231.50,0.024
232.00,0.019
232.50,0.017
233.00,0.036
233.50,0.020
234.00,0.019
234.50,0.019
235.00,0.020
235.50,0.017
236.00,0.035
236.50,0.020
237.00,0.024
237.50,0.026
238.00,0.009
238.50,0.016
239.00,0.026
239.50,0.024
240.00,0.020
240.50,0.029
241.00,0.024
241.50,0.024
242.00,0.016
242.50,0.026
243.00,0.022
243.50,0.007
244.00,0.019
244.50,0.017
245.00,0.020
245.50,0.016
246.00,0.019
246.50,0.018
247.00,0.020
247.50,0.022
248.00,0.014
248.50,0.020
249.00,0.022
249.50,0.015
250.00,0.014
250.50,0.009
251.00,0.019
251.50,0.027
252.00,0.029
252.50,0.013
253.00,0.025
253.50,0.027
254.00,0.015
254.50,0.015
255.00,0.016
255.50,0.012
256.00,0.013
256.50,0.017
257.00,0.022
257.50,0.023
258.00,0.006
258.50,0.010
259.00,0.025
259.50,0.020
260.00,0.020
260.50,0.007
261.00,0.008
261.50,0.022
262.00,0.014
262.50,0.015
263.00,0.012
263.50,0.023
264.00,0.001
264.50,0.026
265.00,0.020
265.50,0.014
266.00,0.003
266.50,0.018
267.00,0.013
267.50,0.018
268.00,0.010
268.50,0.015
269.00,0.011
269.50,0.005
270.00,0.011
270.50,0.012
271.00,0.017
271.50,0.012
272.00,0.013
272.50,0.022
273.00,0.022
273.50,0.004
274.00,0.013
274.50,0.011
275.00,0.003
275.50,0.018
276.00,0.020
276.50,0.020
277.00,0.013
277.50,0.017
278.00,0.012
278.50,-0.001
279.00,0.014
279.50,0.009
280.00,0.012
280.50,0.020
281.00,0.010
281.50,0.005
282.00,0.014
282.50,0.011
283.00,0.008
283.50,0.009
284.00,0.002
284.50,0.015
285.00,0.008
285.50,0.015
286.00,0.003
286.50,-0.000
287.00,0.008
287.50,0.004
288.00,0.017
288.50,0.024
289.00,0.015
289.50,0.012
290.00,0.017
290.50,0.009
291.00,0.018
291.50,0.011
292.00,0.014
292.50,0.009
293.00,0.012
293.50,0.011
294.00,0.008
294.50,0.013
295.00,0.009
295.50,0.020
296.00,0.005
296.50,0.016
297.00,0.018
297.50,0.024
298.00,0.007
298.50,0.020
299.00,0.007
299.50,0.013
300.00,0.013
300.50,0.016
301.00,0.011
301.50,-0.002
302.00,0.018
302.50,0.021
303.00,0.014
303.50,0.002
304.00,0.024
304.50,0.002
305.00,0.024
305.50,0.017
306.00,0.011
306.50,0.027
307.00,0.013
307.50,0.012
308.00,0.027
308.50,0.019
309.00,0.021
309.50,0.024
310.00,0.024
310.50,0.025
311.00,0.021
311.50,0.027
312.00,0.039
312.50,0.041
313.00,0.040
313.50,0.068
314.00,0.063
314.50,0.070
315.00,0.086
315.50,0.103
316.00,0.132
316.50,0.130
317.00,0.165
317.50,0.176
318.00,0.244
318.50,0.285
319.00,0.324
319.50,0.370
320.00,0.443
320.50,0.499
321.00,0.560
321.50,0.666
322.00,0.734
322.50,0.831
323.00,0.937
323.50,1.113
324.00,1.284
324.50,1.445
325.00,1.603
325.50,1.749
326.00,2.084
326.50,2.343
327.00,2.620
327.50,2.883
328.00,3.216
328.50,3.579
329.00,3.941
329.50,4.377
330.00,4.871
330.50,5.288
331.00,5.797
331.50,6.227
332.00,6.686
332.50,7.296
333.00,7.920
333.50,8.697
334.00,9.453
334.50,10.030
335.00,10.707
335.50,11.350
336.00,12.039
336.50,12.924
337.00,13.756
337.50,14.177
338.00,15.087
338.50,15.634
339.00,16.264
339.50,17.133
340.00,17.770
340.50,19.116
341.00,19.605
341.50,20.949
342.00,21.019
342.50,20.923
343.00,22.014
343.50,23.617
344.00,23.838
344.50,24.560
345.00,25.213
345.50,26.437
346.00,26.357
346.50,27.425
347.00,27.709
347.50,28.852
348.00,29.899
348.50,30.713
349.00,31.734
349.50,32.530
350.00,33.315
350.50,34.021
351.00,35.058
351.50,35.688
352.00,36.772
352.50,37.643
353.00,38.533
353.50,40.192
354.00,41.157
354.50,41.589
355.00,43.099
355.50,44.361
356.00,45.429
356.50,46.350
357.00,47.212
357.50,48.498
358.00,49.973
358.50,51.346
359.00,52.267
359.50,53.755
360.00,54.108
360.50,55.292
361.00,56.135
361.50,57.714
362.00,58.660
362.50,59.346
363.00,60.913
363.50,61.172
364.00,62.128
364.50,62.380
365.00,64.081
365.50,64.722
366.00,65.423
366.50,66.374
367.00,66.368
367.50,67.538
368.00,67.630
368.50,68.245
369.00,68.437
369.50,69.037
370.00,69.653
370.50,69.840
371.00,70.175
371.50,70.621
372.00,71.101
372.50,71.163
373.00,71.166
373.50,71.455
374.00,71.508
374.50,71.897
375.00,71.903
375.50,71.784
376.00,71.967
376.50,72.133
377.00,72.147
377.50,72.603
378.00,72.513
378.50,72.806
379.00,72.684
379.50,73.282
380.00,73.538
380.50,74.178
381.00,74.201
381.50,74.269
382.00,74.646
382.50,75.179
383.00,75.714
383.50,75.905
384.00,76.687
384.50,76.663
385.00,77.430
385.50,77.480
386.00,78.037
386.50,78.197
387.00,78.621
387.50,78.825
388.00,79.382
388.50,79.438
389.00,79.832
389.50,79.899
390.00,80.320
390.50,80.706
391.00,80.306
391.50,80.825
392.00,80.833
392.50,81.513
393.00,81.161
393.50,81.593
394.00,81.684
394.50,82.019
395.00,82.278
395.50,82.026
396.00,82.061
396.50,82.146
397.00,81.937
397.50,82.226
398.00,82.293
398.50,82.221
399.00,82.354
399.50,82.132
400.00,82.223
400.50,82.613
401.00,82.102
401.50,82.146
402.00,82.205
402.50,81.903
403.00,82.047
403.50,82.090
404.00,82.065
404.50,81.678
405.00,81.814
405.50,81.386
406.00,81.464
406.50,81.455
407.00,81.498
407.50,81.426
408.00,81.141
408.50,81.056
409.00,81.051
409.50,80.806
410.00,80.878
410.50,80.860
411.00,80.883
411.50,80.823
412.00,80.759
412.50,80.415
413.00,80.566
413.50,80.291
414.00,80.438
414.50,80.019
415.00,80.246
415.50,80.304
416.00,80.171
416.50,80.215
417.00,80.302
417.50,79.858
418.00,80.171
418.50,80.124
419.00,80.415
419.50,80.191
420.00,80.382
420.50,80.618
421.00,80.464
421.50,80.781
422.00,80.618
422.50,80.656
423.00,80.552
423.50,80.537
424.00,80.922
424.50,80.906
425.00,80.816
425.50,81.058
426.00,81.218
426.50,80.968
427.00,81.407
427.50,81.305
428.00,81.769
428.50,81.887
429.00,81.800
429.50,82.164
430.00,81.903
430.50,81.924
431.00,82.007
431.50,82.067
432.00,82.330
432.50,82.369
433.00,82.568
433.50,82.626
434.00,82.544
434.50,82.851
435.00,82.890
435.50,83.232
436.00,83.214
436.50,83.191
437.00,83.337
437.50,83.510
438.00,83.476
438.50,83.903
439.00,84.028
439.50,83.842
440.00,84.173
440.50,84.125
441.00,84.013
441.50,84.005
442.00,84.239
442.50,84.383
443.00,84.151
443.50,84.586
444.00,84.361
444.50,84.519
445.00,84.313
445.50,84.436
446.00,84.513
446.50,84.390
447.00,84.778
447.50,84.628
448.00,84.559
448.50,84.244
449.00,84.428
449.50,84.489
450.00,84.135
450.50,84.302
451.00,84.264
451.50,84.088
452.00,84.190
452.50,84.213
453.00,83.810
453.50,83.702
454.00,83.515
454.50,83.660
455.00,83.658
455.50,83.371
456.00,83.250
456.50,83.127
457.00,82.859
457.50,82.596
458.00,82.543
458.50,82.538
459.00,82.225
459.50,82.394
460.00,82.206
460.50,81.993
461.00,81.777
461.50,81.566
462.00,81.119
462.50,81.106
463.00,80.801
463.50,80.683
464.00,80.597
464.50,80.538
465.00,80.368
465.50,80.114
466.00,79.866
466.50,79.593
467.00,79.415
467.50,79.172
468.00,79.397
468.50,79.057
