"sample_cerveny - RawData"
"Wavelength nm.","T%"
200.00,0.149
200.50,0.106
201.00,0.136
201.50,0.047
202.00,0.123
202.50,0.174
203.00,-0.048
203.50,-0.016
204.00,-0.138
204.50,-0.007
205.00,-0.110
205.50,-0.087
206.00,-0.060
206.50,0.010
207.00,0.015
207.50,0.057
208.00,-0.024
208.50,-0.058
209.00,-0.009
209.50,0.017
210.00,-0.050
210.50,-0.031
211.00,0.067
211.50,0.005
212.00,0.050
212.50,-0.006
213.00,-0.028
213.50,-0.027
214.00,-0.019
214.50,-0.041
215.00,-0.010
215.50,0.002
216.00,-0.039
216.50,0.012
217.00,-0.052
217.50,-0.048
218.00,-0.012
218.50,-0.004
219.00,0.016
219.50,-0.008
220.00,0.016
220.50,0.008
221.00,0.037
221.50,-0.011
222.00,-0.039
222.50,0.027
223.00,-0.021
223.50,0.041
224.00,0.000
224.50,-0.019
225.00,0.032
225.50,-0.004
226.00,-0.008
226.50,-0.002
227.00,0.009
227.50,-0.008
228.00,0.004
228.50,0.008
229.00,-0.001
229.50,-0.000
230.00,-0.006
230.50,0.002
231.00,-0.012
231.50,0.014
232.00,-0.014
232.50,0.004
233.00,0.008
233.50,0.002
234.00,0.008
234.50,0.010
235.00,0.001
235.50,0.003
236.00,-0.007
236.50,0.002
237.00,0.009
237.50,-0.001
238.00,0.008
238.50,-0.016
239.00,0.001
239.50,-0.014
240.00,-0.008
240.50,0.001
241.00,0.008
241.50,-0.015
242.00,-0.015
242.50,-0.005
243.00,-0.007
243.50,-0.013
244.00,0.007
244.50,0.008
245.00,-0.003
245.50,0.009
246.00,0.004
246.50,0.004
247.00,0.003
247.50,-0.001
248.00,-0.004
248.50,0.018
249.00,0.010
249.50,-0.018
250.00,0.011
250.50,0.004
251.00,0.001
251.50,0.012
252.00,-0.007
252.50,-0.015
253.00,-0.003
253.50,0.009
254.00,-0.003
254.50,0.014
255.00,0.003
255.50,-0.006
256.00,-0.002
256.50,0.018
257.00,0.003
257.50,0.005
258.00,-0.011
258.50,-0.004
259.00,-0.001
259.50,0.007
260.00,0.012
260.50,0.006
261.00,-0.000
261.50,-0.017
262.00,-0.007
262.50,0.007
263.00,0.010
263.50,0.003
264.00,0.008
264.50,0.013
265.00,-0.014
265.50,0.005
266.00,0.005
266.50,0.001
267.00,0.010
267.50,-0.000
