"sample_d - RawData"
"Wavelength nm.","T%"
200.00,0.049
200.50,0.014
201.00,-0.048
201.50,0.010
202.00,-0.052
202.50,-0.085
203.00,-0.054
203.50,-0.010
204.00,0.072
204.50,-0.031
205.00,0.103
205.50,0.140
206.00,-0.002
206.50,-0.091
207.00,0.027
207.50,0.020
208.00,-0.016
208.50,-0.022
209.00,-0.025
209.50,0.020
210.00,-0.005
210.50,-0.020
211.00,-0.006
211.50,-0.010
212.00,0.040
212.50,0.003
213.00,0.015
213.50,0.015
214.00,-0.024
214.50,0.014
215.00,0.018
215.50,-0.039
216.00,0.010
216.50,-0.027
217.00,0.002
217.50,0.023
218.00,-0.011
218.50,0.002
219.00,0.021
219.50,-0.032
220.00,0.001
220.50,0.029
221.00,0.000
221.50,0.007
222.00,0.008
222.50,-0.006
223.00,0.010
223.50,-0.030
224.00,-0.007
224.50,-0.014
225.00,-0.015
225.50,-0.018
226.00,-0.013
226.50,-0.014
227.00,-0.015
227.50,0.004
228.00,0.007
228.50,0.012
229.00,-0.003
229.50,0.022
230.00,-0.001
230.50,0.006
231.00,0.015
231.50,0.020
232.00,0.006
232.50,-0.007
233.00,0.010
233.50,0.001
234.00,0.008
234.50,0.004
235.00,-0.006
235.50,-0.001
236.00,0.002
236.50,-0.003
237.00,-0.002
237.50,0.010
238.00,0.002
238.50,0.004
239.00,0.010
239.50,0.015
240.00,-0.005
240.50,0.002
241.00,0.009
241.50,0.004
242.00,0.016
242.50,0.011
243.00,-0.005
243.50,-0.002
244.00,0.002
244.50,0.001
245.00,-0.002
245.50,0.003
246.00,-0.000
246.50,-0.001
247.00,0.000
247.50,0.019
248.00,-0.012
248.50,-0.011
249.00,-0.001
249.50,-0.005
250.00,-0.009
250.50,0.006
251.00,-0.004
251.50,0.006
252.00,0.008
252.50,-0.013
253.00,0.003
253.50,0.006
254.00,0.001
254.50,-0.009
255.00,0.006
255.50,-0.000
256.00,0.004
256.50,0.006
257.00,-0.003
257.50,-0.007
258.00,-0.004
258.50,0.001
259.00,0.001
259.50,-0.005
260.00,-0.003
260.50,-0.004
261.00,-0.004
261.50,0.002
262.00,-0.002
262.50,-0.000
263.00,-0.001
263.50,0.003
264.00,0.000
264.50,-0.001
265.00,0.008
265.50,0.002
266.00,0.001
266.50,0.009
267.00,0.001
267.50,-0.007
268.00,-0.003
268.50,-0.000
269.00,0.002
269.50,0.008
270.00,0.008
270.50,-0.002
271.00,-0.007
271.50,0.002
272.00,-0.007
272.50,0.012
273.00,-0.005
273.50,0.000
274.00,-0.009
274.50,0.015
275.00,-0.009
275.50,-0.001
276.00,-0.001
276.50,-0.007
277.00,-0.002
277.50,-0.004
278.00,-0.002
278.50,0.007
279.00,-0.005
279.50,-0.004
280.00,0.004
280.50,0.008
281.00,-0.003
281.50,-0.004
282.00,0.004
282.50,0.006
283.00,-0.005
283.50,-0.006
284.00,-0.004
284.50,-0.005
285.00,0.007
285.50,0.011
286.00,-0.002
286.50,0.005
287.00,0.003
287.50,-0.009
288.00,-0.002
288.50,0.002
289.00,-0.001
289.50,-0.002
290.00,0.010
290.50,-0.003
291.00,-0.002
291.50,-0.000
292.00,0.000
292.50,-0.006
293.00,0.013
293.50,-0.002
294.00,-0.005
294.50,0.005
295.00,0.002
295.50,0.003
296.00,-0.005
296.50,-0.000
297.00,0.002
297.50,0.009
298.00,-0.011
298.50,-0.003
299.00,0.005
299.50,0.009
300.00,-0.003
300.50,0.004
301.00,0.007
301.50,-0.013
302.00,0.015
302.50,-0.006
303.00,-0.006
303.50,0.003
304.00,-0.010
304.50,-0.006
305.00,-0.000
305.50,0.005
306.00,-0.006
306.50,-0.008
307.00,0.003
