"sample_e - RawData"
"Wavelength nm.","T%"
200.00,0.035
200.50,0.056
201.00,0.235
201.50,0.190
202.00,0.010
202.50,0.092
203.00,-0.032
203.50,0.036
204.00,0.034
204.50,0.013
205.00,0.059
205.50,0.030
206.00,0.078
206.50,0.054
207.00,0.108
207.50,-0.100
208.00,-0.018
208.50,0.046
209.00,-0.007
209.50,-0.009
210.00,0.081
210.50,0.011
211.00,0.047
211.50,0.018
212.00,-0.016
212.50,0.035
213.00,0.009
213.50,0.012
214.00,0.026
214.50,-0.015
215.00,-0.020
215.50,0.026
216.00,-0.010
216.50,-0.012
217.00,0.031
217.50,0.036
218.00,0.042
218.50,0.008
219.00,0.013
219.50,-0.005
220.00,0.036
220.50,0.003
221.00,0.005
221.50,0.013
222.00,0.006
222.50,0.000
223.00,0.011
223.50,0.000
224.00,-0.000
224.50,0.017
225.00,-0.018
225.50,0.026
226.00,0.007
226.50,-0.026
227.00,0.005
227.50,0.009
228.00,-0.002
228.50,0.008
229.00,0.003
229.50,-0.001
230.00,0.004
230.50,0.003
231.00,-0.002
231.50,-0.000
232.00,0.011
232.50,-0.007
233.00,0.016
233.50,0.015
234.00,-0.009
234.50,0.003
235.00,0.006
235.50,0.019
236.00,0.002
236.50,0.011
237.00,-0.003
237.50,-0.006
238.00,0.014
238.50,0.007
239.00,0.003
239.50,0.004
240.00,-0.005
240.50,0.012
241.00,0.003
241.50,0.014
242.00,0.002
242.50,-0.005
243.00,-0.009
243.50,-0.003
244.00,-0.006
244.50,0.005
245.00,-0.003
245.50,0.009
246.00,0.012
246.50,-0.002
247.00,0.005
247.50,0.007
248.00,-0.002
248.50,0.010
249.00,0.007
249.50,-0.005
250.00,-0.002
250.50,0.008
251.00,0.001
251.50,0.009
252.00,0.005
252.50,-0.005
253.00,0.006
253.50,-0.004
254.00,-0.003
254.50,0.007
255.00,-0.003
255.50,-0.001
256.00,0.008
256.50,-0.001
257.00,0.011
257.50,-0.004
258.00,0.009
258.50,0.005
259.00,-0.003
259.50,0.009
260.00,0.006
260.50,0.013
261.00,-0.001
261.50,0.002
262.00,0.005
262.50,0.013
263.00,0.000
263.50,0.013
264.00,0.004
264.50,0.005
265.00,-0.000
265.50,-0.007
266.00,-0.008
266.50,0.006
267.00,0.003
267.50,0.014
268.00,-0.006
268.50,-0.003
269.00,0.007
269.50,0.006
270.00,-0.003
270.50,0.006
271.00,0.008
271.50,0.002
272.00,-0.004
272.50,0.009
273.00,-0.002
273.50,0.001
274.00,0.008
274.50,-0.003
275.00,-0.003
275.50,-0.001
276.00,-0.004
276.50,-0.011
277.00,0.005
277.50,0.008
278.00,-0.005
278.50,0.008
279.00,0.006
279.50,0.009
280.00,0.010
280.50,0.001
281.00,-0.000
281.50,0.001
282.00,0.013
282.50,-0.001
283.00,-0.004
283.50,0.002
284.00,0.005
284.50,0.005
285.00,0.000
285.50,-0.001
286.00,0.002
286.50,0.006
287.00,0.004
287.50,0.011
288.00,0.005
288.50,0.017
289.00,0.005
289.50,0.017
290.00,0.020
290.50,0.015
291.00,0.020
291.50,0.021
292.00,0.031
292.50,0.030
293.00,0.033
293.50,0.055
294.00,0.068
294.50,0.062
295.00,0.090
295.50,0.098
296.00,0.105
296.50,0.127
297.00,0.144
297.50,0.165
298.00,0.179
298.50,0.214
299.00,0.230
299.50,0.260
300.00,0.321
300.50,0.326
301.00,0.385
301.50,0.427
302.00,0.473
302.50,0.470
303.00,0.543
303.50,0.574
304.00,0.660
304.50,0.669
305.00,0.736
305.50,0.765
306.00,0.829
306.50,0.882
307.00,0.915
307.50,1.012
308.00,1.063
308.50,1.124
309.00,1.180
309.50,1.234
310.00,1.310
310.50,1.364
311.00,1.400
311.50,1.460
312.00,1.551
312.50,1.634
313.00,1.717
313.50,1.787
314.00,1.808
314.50,1.874
315.00,1.949
315.50,2.101
316.00,2.067
316.50,2.127
317.00,2.255
317.50,2.319
318.00,2.371
318.50,2.399
319.00,2.522
319.50,2.553
320.00,2.621
320.50,2.669
321.00,2.783
321.50,2.812
322.00,2.924
322.50,2.962
323.00,3.026
323.50,3.140
324.00,3.218
324.50,3.299
325.00,3.314
325.50,3.387
326.00,3.428
326.50,3.536
327.00,3.638
327.50,3.735
328.00,3.845
328.50,3.893
329.00,3.911
329.50,4.018
330.00,4.196
330.50,4.249
331.00,4.312
331.50,4.437
332.00,4.595
332.50,4.736
333.00,4.760
333.50,4.830
334.00,5.012
334.50,5.101
335.00,5.179
335.50,5.386
336.00,5.501
336.50,5.594
337.00,5.723
337.50,5.786
338.00,6.011
338.50,6.182
339.00,6.304
339.50,6.482
340.00,6.551
340.50,7.469
341.00,7.551
341.50,7.914
342.00,8.214
342.50,8.656
343.00,8.740
343.50,9.300
344.00,9.295
344.50,9.585
345.00,9.817
345.50,10.260
346.00,10.716
346.50,10.926
347.00,11.080
347.50,11.430
348.00,11.569
348.50,12.193
349.00,12.688
349.50,12.498
350.00,13.202
350.50,13.461
351.00,13.800
351.50,14.590
352.00,14.955
352.50,15.194
353.00,15.643
353.50,16.025
354.00,16.463
354.50,16.756
355.00,17.420
355.50,17.978
356.00,18.140
356.50,18.746
357.00,18.867
357.50,19.815
358.00,20.316
358.50,21.068
359.00,21.128
359.50,21.920
360.00,22.086
360.50,22.716
361.00,23.055
361.50,23.881
362.00,23.856
362.50,24.501
363.00,25.027
363.50,25.326
364.00,25.606
364.50,25.915
365.00,26.263
365.50,26.652
366.00,27.053
366.50,27.301
367.00,27.378
367.50,27.839
368.00,28.122
368.50,28.190
369.00,28.868
369.50,28.774
370.00,29.237
370.50,29.448
371.00,29.638
371.50,30.033
372.00,30.407
372.50,30.519
373.00,30.726
373.50,30.903
374.00,31.178
374.50,31.331
375.00,31.410
375.50,31.701
376.00,32.003
376.50,31.915
377.00,32.136
377.50,32.470
378.00,32.371
378.50,32.497
379.00,32.514
379.50,32.772
380.00,33.008
380.50,32.953
381.00,32.923
381.50,32.926
382.00,33.016
382.50,33.098
383.00,33.341
383.50,33.225
384.00,33.311
384.50,33.479
385.00,33.453
385.50,33.453
386.00,33.565
386.50,33.527
387.00,33.568
387.50,33.690
388.00,33.660
388.50,33.775
389.00,33.753
389.50,33.790
390.00,33.827
390.50,33.965
391.00,34.025
391.50,34.082
392.00,34.269
392.50,34.385
393.00,34.434
393.50,34.630
394.00,34.870
394.50,35.039
395.00,35.436
