"sample_f - RawData"
"Wavelength nm.","T%"
200.00,-0.105
200.50,0.043
201.00,0.177
201.50,-0.002
202.00,0.112
202.50,0.205
203.00,-0.008
203.50,0.124
204.00,-0.040
204.50,-0.034
205.00,0.140
205.50,-0.057
206.00,0.032
206.50,0.002
207.00,0.010
207.50,0.055
208.00,0.036
208.50,0.047
209.00,0.100
209.50,0.055
210.00,0.042
210.50,0.063
211.00,0.027
211.50,0.007
212.00,0.053
212.50,-0.017
213.00,0.041
213.50,0.079
214.00,0.001
214.50,-0.003
215.00,0.015
215.50,-0.006
216.00,0.050
216.50,0.009
217.00,0.016
217.50,0.004
218.00,-0.010
218.50,0.003
219.00,0.029
219.50,0.033
220.00,0.031
220.50,0.007
221.00,0.002
221.50,-0.017
222.00,0.021
222.50,0.005
223.00,0.015
223.50,0.008
224.00,-0.008
224.50,-0.014
225.00,0.023
225.50,0.009
226.00,0.008
226.50,0.017
227.00,0.002
227.50,-0.006
228.00,0.014
228.50,-0.008
229.00,0.012
229.50,0.009
230.00,-0.001
230.50,0.007
231.00,0.003
231.50,-0.006
232.00,-0.005
232.50,0.008
233.00,-0.008
233.50,-0.000
234.00,0.002
234.50,-0.004
235.00,0.002
235.50,0.012
236.00,-0.008
236.50,0.019
237.00,0.007
237.50,0.001
238.00,-0.006
238.50,0.008
239.00,0.002
239.50,-0.001
240.00,-0.001
240.50,0.003
241.00,0.002
241.50,-0.005
242.00,0.016
242.50,-0.007
243.00,-0.009
243.50,0.002
244.00,0.002
244.50,0.008
245.00,0.007
245.50,0.004
246.00,0.007
246.50,-0.001
247.00,-0.007
247.50,0.000
248.00,0.002
248.50,0.001
249.00,-0.001
249.50,-0.003
250.00,-0.007
250.50,-0.002
251.00,-0.004
251.50,-0.000
252.00,-0.001
252.50,0.002
253.00,-0.002
253.50,-0.003
254.00,0.004
254.50,0.001
255.00,0.011
255.50,0.003
256.00,-0.005
256.50,-0.001
257.00,0.005
257.50,0.003
258.00,0.011
258.50,0.001
259.00,0.008
259.50,-0.004
260.00,0.008
260.50,0.009
261.00,0.005
261.50,0.006
262.00,-0.006
262.50,0.005
263.00,0.008
263.50,0.003
264.00,0.005
264.50,0.006
265.00,0.014
265.50,0.024
266.00,0.025
266.50,0.027
267.00,0.041
267.50,0.047
268.00,0.063
268.50,0.068
269.00,0.087
269.50,0.133
270.00,0.154
270.50,0.205
271.00,0.241
271.50,0.285
272.00,0.325
272.50,0.373
273.00,0.442
273.50,0.536
274.00,0.613
274.50,0.715
275.00,0.827
275.50,0.908
276.00,1.050
276.50,1.203
277.00,1.331
277.50,1.517
278.00,1.667
278.50,1.839
279.00,2.016
279.50,2.230
280.00,2.450
280.50,2.718
281.00,2.921
281.50,3.130
282.00,3.505
282.50,3.729
283.00,4.020
283.50,4.378
284.00,4.710
284.50,5.095
285.00,5.448
285.50,5.770
286.00,6.260
286.50,6.639
287.00,6.991
287.50,7.515
288.00,8.033
288.50,8.429
289.00,8.901
289.50,9.381
290.00,9.903
290.50,10.427
291.00,10.935
291.50,11.599
292.00,12.204
292.50,12.689
293.00,13.386
293.50,13.992
294.00,14.699
294.50,15.342
295.00,16.166
295.50,16.729
296.00,17.367
296.50,18.362
297.00,18.970
297.50,19.843
298.00,20.596
298.50,21.303
299.00,22.075
299.50,22.825
300.00,23.847
300.50,24.336
301.00,25.360
301.50,26.384
302.00,26.867
302.50,28.037
303.00,28.739
303.50,29.709
304.00,30.495
304.50,31.443
305.00,32.125
305.50,32.889
306.00,34.033
306.50,34.852
307.00,35.760
307.50,36.565
308.00,37.564
308.50,38.517
309.00,39.432
309.50,40.204
310.00,41.143
310.50,42.082
311.00,42.991
311.50,43.667
312.00,44.483
312.50,45.534
313.00,46.656
313.50,47.349
314.00,48.354
314.50,49.074
315.00,50.036
315.50,50.515
316.00,51.347
316.50,51.819
317.00,53.051
317.50,53.715
318.00,54.316
318.50,55.441
319.00,56.366
319.50,56.586
320.00,57.554
320.50,57.897
321.00,58.460
321.50,59.204
322.00,59.943
322.50,60.981
323.00,61.505
323.50,62.509
324.00,62.756
324.50,63.643
325.00,64.026
325.50,64.486
326.00,65.412
326.50,65.726
327.00,66.288
327.50,66.618
328.00,67.240
328.50,67.933
329.00,68.588
329.50,69.215
330.00,68.928
330.50,70.092
331.00,69.961
331.50,70.244
332.00,71.070
332.50,71.899
333.00,71.361
333.50,72.275
334.00,72.403
334.50,73.171
335.00,73.930
335.50,73.246
336.00,73.909
336.50,74.365
337.00,74.375
337.50,74.700
338.00,75.268
338.50,75.546
339.00,75.726
339.50,75.617
340.00,75.989
340.50,79.194
341.00,76.425
341.50,77.901
342.00,76.413
342.50,76.950
343.00,78.155
343.50,80.164
344.00,77.964
344.50,79.679
345.00,78.953
345.50,79.885
346.00,79.224
346.50,80.411
347.00,79.033
347.50,79.922
348.00,80.775
348.50,80.997
349.00,81.440
349.50,80.538
350.00,81.498
350.50,80.615
351.00,81.995
351.50,82.962
352.00,82.710
352.50,82.228
353.00,82.831
353.50,83.099
354.00,83.676
354.50,82.937
355.00,83.368
355.50,84.803
356.00,83.843
356.50,84.327
357.00,83.980
357.50,84.374
358.00,84.515
358.50,84.964
359.00,84.042
359.50,84.615
360.00,84.547
360.50,84.813
361.00,84.257
361.50,85.070
362.00,85.080
362.50,84.673
363.00,85.625
363.50,85.463
364.00,85.290
364.50,85.039
365.00,85.617
365.50,85.317
366.00,85.736
366.50,86.224
367.00,85.404
367.50,85.762
368.00,85.936
368.50,85.776
369.00,85.865
369.50,86.084
370.00,86.137
370.50,86.007
371.00,85.997
371.50,86.130
372.00,86.747
372.50,85.999
373.00,85.880
373.50,86.222
374.00,86.261
374.50,86.068
375.00,86.365
375.50,86.347
376.00,86.527
376.50,85.951
377.00,86.584
377.50,86.569
378.00,86.328
378.50,86.286
379.00,86.253
379.50,86.264
380.00,86.833
380.50,86.396
381.00,86.082
381.50,85.790
382.00,85.998
382.50,86.325
383.00,86.334
383.50,85.963
384.00,86.071
384.50,86.224
385.00,86.324
385.50,86.016
386.00,85.795
386.50,85.756
387.00,85.820
387.50,85.518
388.00,85.540
388.50,85.336
389.00,85.357
389.50,84.993
390.00,85.146
390.50,85.094
391.00,84.742
391.50,84.719
392.00,84.414
392.50,84.791
393.00,84.255
393.50,84.286
394.00,84.160
394.50,84.106
395.00,83.723
395.50,83.664
396.00,83.445
396.50,83.293
397.00,82.997
397.50,83.046
398.00,83.206
398.50,82.832
399.00,82.839
399.50,82.589
400.00,82.538
400.50,82.695
401.00,82.284
401.50,82.157
402.00,82.181
402.50,82.146
403.00,81.874
403.50,81.963
404.00,82.026
404.50,81.794
405.00,81.696
405.50,81.378
406.00,81.515
406.50,81.385
407.00,81.286
407.50,81.137
408.00,81.136
408.50,80.984
409.00,81.061
409.50,80.978
410.00,80.722
410.50,80.733
411.00,80.877
411.50,80.591
412.00,80.781
412.50,80.420
413.00,80.361
413.50,80.166
414.00,80.214
414.50,79.906
415.00,79.980
415.50,79.843
416.00,79.709
416.50,79.448
417.00,79.540
417.50,79.251
418.00,79.120
418.50,79.201
419.00,79.127
419.50,78.888
420.00,78.857
420.50,78.838
421.00,78.782
421.50,78.662
422.00,78.671
422.50,78.787
423.00,78.542
423.50,78.468
424.00,78.478
424.50,78.256
425.00,78.124
425.50,78.452
426.00,78.467
426.50,78.350
427.00,78.517
427.50,78.431
428.00,78.676
428.50,78.710
429.00,78.286
429.50,78.537
430.00,78.543
430.50,78.355
431.00,78.390
431.50,78.340
432.00,78.573
432.50,78.486
433.00,78.395
433.50,78.515
434.00,78.455
434.50,78.426
435.00,78.435
435.50,78.523
436.00,78.457
436.50,78.568
437.00,78.382
437.50,78.497
438.00,78.460
438.50,78.902
439.00,78.529
439.50,78.665
440.00,78.522
440.50,78.526
441.00,78.612
441.50,78.544
442.00,78.742
442.50,78.572
443.00,78.537
443.50,78.771
444.00,78.558
444.50,78.418
445.00,78.580
445.50,78.659
446.00,78.681
446.50,78.676
447.00,78.541
447.50,78.809
448.00,78.698
448.50,78.341
449.00,78.488
449.50,78.522
450.00,78.402
450.50,78.584
451.00,78.613
451.50,78.370
452.00,78.179
452.50,78.510
453.00,78.205
453.50,78.265
454.00,78.227
454.50,78.294
455.00,78.189
455.50,77.968
456.00,78.103
456.50,78.168
457.00,77.994
457.50,77.916
458.00,78.001
458.50,78.249
459.00,77.995
459.50,78.094
460.00,78.080
460.50,78.131
461.00,78.252
461.50,78.258
462.00,78.139
462.50,78.515
463.00,78.376
463.50,78.355
464.00,78.419
464.50,78.607
465.00,78.682
465.50,78.610
466.00,78.713
466.50,78.790
467.00,79.007
467.50,78.910
468.00,79.190
468.50,78.955
469.00,79.260
469.50,79.027
470.00,79.126
470.50,79.187
471.00,79.360
471.50,79.333
472.00,79.432
472.50,79.363
473.00,79.478
473.50,79.478
474.00,79.589
474.50,79.613
475.00,79.573
475.50,79.698
476.00,79.759
476.50,79.681
477.00,79.793
477.50,79.876
478.00,79.877
478.50,79.956
479.00,79.928
479.50,80.145
480.00,80.132
480.50,80.131
481.00,80.034
481.50,80.133
482.00,80.278
482.50,80.495
483.00,80.251
483.50,80.308
484.00,80.523
484.50,80.500
485.00,80.469
485.50,80.554
486.00,80.755
486.50,80.660
487.00,80.786
487.50,80.801
488.00,80.823
488.50,81.025
489.00,80.856
489.50,80.866
490.00,80.941
490.50,81.051
491.00,81.084
491.50,81.226
492.00,81.155
492.50,81.158
493.00,81.246
493.50,81.332
494.00,81.332
494.50,81.223
495.00,81.180
495.50,81.305
496.00,81.239
496.50,81.219
497.00,81.264
497.50,81.308
498.00,81.318
498.50,81.211
499.00,81.303
499.50,81.311
500.00,81.412
500.50,81.230
501.00,81.344
501.50,81.406
502.00,81.419
502.50,81.650
503.00,81.416
503.50,81.532
504.00,81.642
504.50,81.612
505.00,81.734
505.50,81.467
506.00,81.555
506.50,81.661
507.00,81.627
507.50,81.647
508.00,81.581
508.50,81.556
509.00,81.540
509.50,81.535
510.00,81.650
510.50,81.200
511.00,81.377
511.50,81.390
512.00,81.255
512.50,81.283
513.00,81.385
513.50,81.375
514.00,81.352
514.50,81.333
515.00,81.147
515.50,81.140
516.00,81.363
516.50,81.275
517.00,81.125
517.50,81.002
518.00,81.102
518.50,81.212
519.00,81.296
519.50,81.203
520.00,81.263
520.50,80.979
521.00,81.166
521.50,81.064
522.00,81.042
522.50,81.021
523.00,81.115
523.50,81.002
524.00,81.110
524.50,81.143
525.00,81.110
525.50,81.213
526.00,80.986
526.50,81.025
527.00,81.084
527.50,81.193
528.00,81.304
528.50,81.142
529.00,81.088
529.50,81.154
530.00,81.085
530.50,81.058
531.00,81.100
531.50,81.102
532.00,81.148
532.50,81.057
533.00,81.074
533.50,81.206
534.00,81.244
534.50,81.096
535.00,81.166
535.50,81.302
536.00,81.386
536.50,81.495
537.00,81.347
537.50,81.544
538.00,81.555
538.50,81.549
539.00,81.712
539.50,81.903
540.00,81.925
540.50,81.936
541.00,81.916
541.50,82.164
542.00,82.080
542.50,82.243
543.00,82.241
543.50,82.421
544.00,82.187
544.50,82.404
545.00,82.606
545.50,82.473
546.00,82.553
546.50,82.688
547.00,82.732
547.50,82.798
548.00,83.013
548.50,83.021
549.00,82.833
549.50,83.083
550.00,83.036
550.50,83.020
551.00,83.161
551.50,82.931
552.00,83.190
552.50,83.074
553.00,83.025
553.50,83.087
554.00,83.012
554.50,83.090
555.00,83.140
555.50,83.226
556.00,83.080
556.50,83.121
557.00,83.047
557.50,83.345
558.00,83.116
558.50,83.303
559.00,83.217
559.50,83.275
560.00,83.054
560.50,83.062
561.00,83.327
561.50,83.243
562.00,83.172
562.50,83.058
563.00,83.067
563.50,83.148
564.00,82.987
564.50,82.971
565.00,82.991
565.50,82.974
566.00,82.927
566.50,83.022
567.00,82.768
567.50,83.029
568.00,82.754
568.50,82.851
569.00,82.768
569.50,82.789
570.00,82.635
570.50,82.621
571.00,82.699
571.50,82.846
572.00,82.590
572.50,82.517
573.00,82.563
573.50,82.482
574.00,82.546
574.50,82.341
575.00,82.375
575.50,82.232
576.00,82.298
576.50,82.242
577.00,82.172
577.50,82.107
578.00,82.252
578.50,82.112
579.00,82.058
579.50,81.848
580.00,81.998
580.50,81.845
581.00,81.801
581.50,81.784
582.00,81.570
582.50,81.553
583.00,81.562
583.50,81.526
584.00,81.436
584.50,81.276
585.00,81.332
585.50,81.339
586.00,81.179
586.50,81.166
587.00,81.037
587.50,81.006
588.00,80.965
588.50,80.853
589.00,80.751
589.50,80.696
590.00,80.619
590.50,80.498
591.00,80.527
591.50,80.348
592.00,80.214
592.50,80.303
593.00,80.189
593.50,80.062
594.00,80.040
594.50,79.950
595.00,79.805
595.50,79.661
596.00,79.656
596.50,79.492
597.00,79.425
597.50,79.321
598.00,79.200
598.50,79.170
599.00,78.970
599.50,78.950
600.00,78.861
600.50,78.814
601.00,78.677
601.50,78.534
602.00,78.466
602.50,78.350
603.00,78.221
603.50,78.037
604.00,77.993
604.50,77.962
605.00,77.880
605.50,77.663
606.00,77.520
606.50,77.315
607.00,77.413
607.50,77.127
608.00,77.079
608.50,76.945
609.00,76.900
609.50,76.808
610.00,76.551
610.50,76.515
611.00,76.350
611.50,76.154
612.00,76.130
612.50,75.891
613.00,75.856
613.50,75.822
614.00,75.558
614.50,75.394
615.00,75.119
615.50,75.098
616.00,74.906
616.50,74.827
617.00,74.619
617.50,74.655
618.00,74.343
618.50,74.291
619.00,74.183
619.50,73.915
620.00,73.758
620.50,73.721
621.00,73.473
621.50,73.300
622.00,73.172
622.50,73.045
623.00,72.888
623.50,72.660
624.00,72.480
624.50,72.350
625.00,72.244
625.50,72.137
626.00,71.926
626.50,71.724
627.00,71.730
627.50,71.504
628.00,71.326
628.50,71.210
629.00,70.926
629.50,70.606
630.00,70.603
630.50,70.366
631.00,70.238
631.50,70.077
632.00,69.907
632.50,69.839
633.00,69.531
633.50,69.552
634.00,69.145
634.50,69.093
635.00,68.860
635.50,68.684
636.00,68.571
636.50,68.280
637.00,68.159
637.50,68.045
638.00,67.950
638.50,67.702
639.00,67.599
639.50,67.452
640.00,67.117
640.50,67.062
641.00,66.750
641.50,66.670
642.00,66.479
642.50,66.360
643.00,66.301
643.50,65.977
644.00,65.705
644.50,65.509
645.00,65.408
645.50,65.289
646.00,65.065
646.50,64.954
647.00,64.710
647.50,64.449
648.00,64.288
648.50,64.158
649.00,63.821
649.50,63.639
650.00,63.409
650.50,63.266
651.00,63.021
651.50,62.894
652.00,62.648
652.50,62.457
653.00,62.269
653.50,62.088
654.00,61.921
654.50,61.788
655.00,61.478
655.50,61.376
656.00,61.110
656.50,60.924
657.00,60.709
657.50,60.593
658.00,60.286
658.50,59.989
659.00,59.996
659.50,59.728
660.00,59.548
660.50,59.245
661.00,59.127
661.50,58.883
662.00,58.595
662.50,58.466
663.00,58.306
663.50,58.077
664.00,57.937
664.50,57.685
665.00,57.477
665.50,57.251
666.00,57.103
666.50,57.021
667.00,56.773
667.50,56.587
668.00,56.420
668.50,56.210
669.00,56.047
669.50,55.755
670.00,55.585
670.50,55.471
671.00,55.363
671.50,55.042
672.00,54.952
672.50,54.755
673.00,54.536
673.50,54.327
674.00,54.130
674.50,53.925
675.00,53.664
675.50,53.491
676.00,53.300
676.50,53.045
677.00,52.895
677.50,52.574
678.00,52.448
678.50,52.255
679.00,52.018
679.50,51.480
680.00,51.311
680.50,51.278
681.00,50.790
681.50,50.652
682.00,50.479
682.50,50.156
683.00,49.906
683.50,49.801
684.00,49.505
684.50,49.170
685.00,48.967
685.50,48.698
686.00,48.451
686.50,48.257
687.00,48.069
687.50,47.573
688.00,47.673
688.50,47.297
689.00,47.110
689.50,46.761
690.00,46.536
690.50,46.346
691.00,45.967
691.50,45.977
692.00,45.650
692.50,45.389
693.00,45.231
693.50,45.006
694.00,44.682
694.50,44.358
695.00,44.271
695.50,44.093
696.00,43.767
696.50,43.573
697.00,43.338
697.50,43.003
698.00,42.779
698.50,42.560
699.00,42.360
699.50,42.125
700.00,41.852
700.50,41.552
701.00,41.309
701.50,41.209
702.00,40.995
702.50,40.869
703.00,40.374
703.50,40.317
704.00,39.969
704.50,39.789
705.00,39.428
705.50,39.378
706.00,39.253
706.50,38.860
707.00,38.623
707.50,38.457
708.00,38.010
708.50,37.891
709.00,37.801
709.50,37.501
710.00,37.191
710.50,36.964
711.00,36.765
711.50,36.503
712.00,36.310
712.50,36.137
713.00,35.906
713.50,35.639
714.00,35.381
714.50,35.126
715.00,34.881
715.50,34.730
716.00,34.491
716.50,34.331
717.00,34.099
717.50,33.771
718.00,33.663
718.50,33.316
719.00,33.141
719.50,32.994
720.00,32.832
720.50,32.571
721.00,32.314
721.50,32.066
722.00,31.902
722.50,31.684
723.00,31.445
723.50,31.219
724.00,30.949
724.50,30.825
725.00,30.739
725.50,30.378
726.00,30.201
726.50,29.926
727.00,29.761
727.50,29.547
728.00,29.262
728.50,29.123
729.00,28.850
729.50,28.746
730.00,28.561
730.50,28.324
731.00,28.050
731.50,28.032
732.00,27.629
732.50,27.491
733.00,27.314
733.50,26.979
734.00,26.919
734.50,26.697
735.00,26.488
735.50,26.219
736.00,26.146
736.50,25.838
737.00,25.819
737.50,25.575
738.00,25.252
738.50,25.097
739.00,24.905
739.50,24.732
740.00,24.456
740.50,24.331
741.00,24.118
741.50,23.995
742.00,23.773
742.50,23.588
743.00,23.418
743.50,23.072
744.00,23.077
744.50,22.759
745.00,22.652
745.50,22.525
746.00,22.284
746.50,21.950
747.00,21.848
747.50,21.620
748.00,21.517
748.50,21.326
749.00,21.123
749.50,20.929
750.00,20.715
750.50,20.584
751.00,20.455
751.50,20.185
752.00,20.111
752.50,19.921
753.00,19.669
753.50,19.515
754.00,19.311
754.50,19.116
755.00,18.896
755.50,18.758
756.00,18.653
756.50,18.509
757.00,18.291
757.50,18.191
758.00,17.916
758.50,17.901
759.00,17.614
759.50,17.477
760.00,17.203
760.50,17.141
761.00,16.981
761.50,16.784
762.00,16.714
762.50,16.453
763.00,16.326
763.50,16.216
764.00,16.059
764.50,15.886
765.00,15.713
765.50,15.484
766.00,15.444
766.50,15.302
767.00,15.064
767.50,15.067
768.00,14.841
768.50,14.635
769.00,14.575
769.50,14.397
770.00,14.172
770.50,14.171
771.00,13.956
771.50,13.792
772.00,13.609
772.50,13.549
773.00,13.384
773.50,13.300
774.00,13.138
774.50,12.940
775.00,12.847
775.50,12.644
776.00,12.546
776.50,12.411
777.00,12.310
777.50,12.112
778.00,12.094
778.50,11.899
779.00,11.747
779.50,11.656
780.00,11.557
780.50,11.460
781.00,11.304
781.50,11.117
782.00,11.106
782.50,10.903
783.00,10.780
783.50,10.732
784.00,10.616
784.50,10.445
785.00,10.325
785.50,10.250
786.00,10.104
786.50,10.004
787.00,9.895
787.50,9.799
788.00,9.653
788.50,9.549
789.00,9.446
789.50,9.290
790.00,9.204
790.50,9.171
791.00,8.976
791.50,8.852
792.00,8.836
792.50,8.661
793.00,8.642
793.50,8.559
794.00,8.427
794.50,8.281
795.00,8.167
795.50,8.105
796.00,7.999
796.50,7.923
797.00,7.790
797.50,7.728
798.00,7.707
798.50,7.561
799.00,7.428
799.50,7.380
800.00,7.277
800.50,7.255
801.00,7.097
801.50,7.033
802.00,6.938
802.50,6.935
803.00,6.730
803.50,6.684
804.00,6.628
804.50,6.570
805.00,6.462
805.50,6.400
806.00,6.291
806.50,6.189
807.00,6.173
807.50,6.072
808.00,6.038
808.50,5.895
809.00,5.849
809.50,5.697
810.00,5.689
810.50,5.680
811.00,5.590
811.50,5.501
812.00,5.395
812.50,5.340
813.00,5.295
813.50,5.224
814.00,5.129
814.50,5.158
815.00,5.000
815.50,4.970
816.00,4.949
816.50,4.796
817.00,4.762
817.50,4.668
818.00,4.597
818.50,4.602
819.00,4.548
819.50,4.529
820.00,4.461
820.50,4.367
821.00,4.224
821.50,4.283
822.00,4.207
822.50,4.138
823.00,4.147
823.50,3.952
824.00,3.976
824.50,3.966
825.00,3.885
825.50,3.811
826.00,3.806
826.50,3.716
827.00,3.666
827.50,3.618
828.00,3.608
828.50,3.497
829.00,3.465
829.50,3.431
830.00,3.420
830.50,3.341
831.00,3.231
831.50,3.273
832.00,3.271
832.50,3.199
833.00,3.204
833.50,3.053
834.00,3.059
834.50,2.971
835.00,2.947
835.50,2.923
836.00,2.891
836.50,2.833
837.00,2.804
837.50,2.746
838.00,2.737
838.50,2.673
839.00,2.635
839.50,2.603
840.00,2.627
840.50,2.616
841.00,2.550
841.50,2.574
842.00,2.467
842.50,2.377
843.00,2.323
843.50,2.297
844.00,2.293
844.50,2.306
845.00,2.221
845.50,2.192
846.00,2.194
846.50,2.167
847.00,2.112
847.50,2.130
848.00,2.062
848.50,1.994
849.00,1.989
849.50,1.958
850.00,1.963
850.50,1.940
851.00,1.910
851.50,1.859
852.00,1.876
852.50,1.833
853.00,1.770
853.50,1.762
854.00,1.751
854.50,1.718
855.00,1.710
855.50,1.714
856.00,1.645
856.50,1.625
857.00,1.621
857.50,1.582
858.00,1.624
858.50,1.531
859.00,1.523
859.50,1.452
860.00,1.427
860.50,1.450
861.00,1.446
861.50,1.422
862.00,1.446
862.50,1.413
863.00,1.356
863.50,1.327
864.00,1.332
864.50,1.279
865.00,1.297
865.50,1.240
866.00,1.248
866.50,1.235
867.00,1.206
867.50,1.202
868.00,1.130
868.50,1.125
869.00,1.144
869.50,1.150
870.00,1.118
870.50,1.099
871.00,1.080
871.50,1.071
872.00,1.109
872.50,1.073
873.00,1.056
873.50,0.967
874.00,0.969
874.50,1.034
875.00,1.019
875.50,0.899
876.00,0.977
876.50,0.976
877.00,0.909
877.50,0.902
878.00,0.859
878.50,0.830
879.00,0.849
879.50,0.859
880.00,0.873
880.50,0.852
881.00,0.866
881.50,0.902
882.00,0.895
882.50,0.732
883.00,0.754
883.50,0.702
884.00,0.854
884.50,0.846
885.00,0.801
885.50,0.768
886.00,0.798
886.50,0.529
887.00,0.725
887.50,0.675
888.00,0.662
888.50,0.802
889.00,0.873
889.50,0.744
890.00,0.646
890.50,0.499
891.00,0.944
891.50,0.870
892.00,0.505
892.50,0.469
893.00,0.451
893.50,0.626
894.00,0.387
894.50,0.793
895.00,0.519
895.50,0.522
