"sample_g - RawData"
"Wavelength nm.","T%"
200.00,0.231
200.50,0.113
201.00,0.049
201.50,0.046
202.00,-0.123
202.50,0.013
203.00,0.070
203.50,0.017
204.00,-0.022
204.50,-0.004
205.00,-0.024
205.50,-0.091
206.00,-0.057
206.50,-0.007
207.00,0.050
207.50,0.126
208.00,0.016
208.50,-0.037
209.00,0.001
209.50,0.048
210.00,-0.013
210.50,0.049
211.00,0.013
211.50,-0.003
212.00,0.001
212.50,0.016
213.00,-0.034
213.50,0.069
214.00,0.003
214.50,-0.019
215.00,0.026
215.50,0.014
216.00,0.017
216.50,0.036
217.00,-0.039
217.50,0.021
218.00,0.040
218.50,0.015
219.00,0.019
219.50,0.044
220.00,-0.018
220.50,-0.003
221.00,-0.009
221.50,0.004
222.00,0.007
222.50,0.002
223.00,0.031
223.50,0.002
224.00,0.018
224.50,-0.000
225.00,0.015
225.50,0.010
226.00,-0.001
226.50,0.002
227.00,0.008
227.50,0.006
228.00,0.009
228.50,0.012
229.00,0.006
229.50,-0.004
230.00,0.002
230.50,0.017
231.00,0.004
231.50,0.008
232.00,0.006
232.50,0.018
233.00,-0.003
233.50,-0.003
234.00,0.005
234.50,0.012
235.00,0.008
235.50,-0.004
236.00,0.000
236.50,0.006
237.00,0.000
237.50,0.009
238.00,0.001
238.50,-0.009
239.00,-0.003
239.50,-0.005
240.00,0.014
240.50,-0.011
241.00,0.003
241.50,-0.001
242.00,0.006
242.50,-0.001
243.00,-0.004
243.50,-0.000
244.00,0.010
244.50,0.010
245.00,0.001
245.50,0.006
246.00,0.015
246.50,-0.001
247.00,0.003
247.50,-0.002
248.00,0.005
248.50,-0.005
249.00,0.002
249.50,-0.001
250.00,0.000
250.50,0.014
251.00,-0.009
251.50,-0.001
252.00,0.004
252.50,0.006
253.00,0.002
253.50,0.016
254.00,-0.001
254.50,-0.004
255.00,-0.006
255.50,-0.001
256.00,-0.002
256.50,0.017
257.00,-0.001
257.50,-0.003
258.00,0.002
258.50,0.007
259.00,-0.010
259.50,0.001
260.00,0.001
260.50,-0.000
261.00,0.006
261.50,0.005
262.00,0.004
262.50,0.004
263.00,0.006
263.50,-0.002
264.00,-0.004
264.50,-0.004
265.00,-0.003
265.50,0.003
266.00,0.003
266.50,-0.001
267.00,-0.002
267.50,0.002
268.00,-0.006
268.50,0.004
269.00,0.004
269.50,-0.007
270.00,-0.006
270.50,-0.000
271.00,0.000
271.50,0.005
272.00,0.010
272.50,0.006
273.00,-0.002
273.50,0.001
274.00,0.005
274.50,-0.004
275.00,0.003
275.50,0.005
276.00,-0.003
276.50,-0.003
277.00,0.005
277.50,0.006
278.00,-0.010
278.50,-0.009
279.00,0.000
279.50,-0.007
280.00,0.001
280.50,0.005
281.00,0.007
281.50,-0.001
282.00,-0.001
282.50,0.004
283.00,0.004
283.50,0.002
284.00,0.009
284.50,0.000
285.00,-0.001
285.50,0.001
286.00,0.007
286.50,0.001
287.00,0.006
287.50,0.008
288.00,0.004
288.50,0.002
289.00,0.001
289.50,-0.005
290.00,0.014
290.50,-0.003
291.00,0.005
291.50,-0.009
292.00,0.006
292.50,0.002
293.00,0.007
293.50,0.012
294.00,-0.002
294.50,0.000
295.00,0.011
295.50,0.008
296.00,-0.007
296.50,-0.001
297.00,0.009
297.50,0.004
298.00,0.002
298.50,0.005
299.00,0.003
299.50,0.001
300.00,0.007
300.50,-0.010
301.00,-0.020
301.50,-0.003
302.00,0.006
302.50,0.000
303.00,0.002
303.50,-0.012
304.00,-0.000
304.50,-0.004
305.00,-0.004
305.50,0.001
306.00,-0.002
306.50,0.002
307.00,-0.003
307.50,0.007
308.00,-0.010
308.50,0.007
309.00,-0.003
309.50,-0.001
310.00,0.009
310.50,0.007
311.00,-0.004
311.50,-0.006
312.00,-0.002
312.50,-0.007
313.00,0.006
313.50,0.008
314.00,-0.004
314.50,0.003
315.00,0.009
315.50,-0.004
316.00,-0.008
316.50,-0.007
317.00,-0.007
317.50,-0.012
318.00,-0.002
318.50,-0.006
319.00,0.003
319.50,0.006
320.00,0.000
320.50,-0.009
321.00,-0.006
321.50,0.005
322.00,-0.003
322.50,0.006
323.00,0.002
323.50,-0.004
324.00,0.001
324.50,0.005
325.00,-0.004
325.50,-0.005
326.00,-0.010
326.50,0.006
327.00,0.001
327.50,0.009
328.00,-0.012
328.50,0.005
329.00,-0.004
329.50,-0.012
330.00,0.014
330.50,-0.006
331.00,-0.015
331.50,-0.010
332.00,-0.014
332.50,0.002
333.00,-0.006
333.50,0.004
334.00,0.001
334.50,0.015
335.00,0.004
335.50,-0.009
336.00,0.012
336.50,-0.000
337.00,-0.003
337.50,-0.002
338.00,-0.019
338.50,-0.001
339.00,0.001
339.50,-0.012
340.00,-0.022
340.50,0.139
341.00,0.170
341.50,-0.079
342.00,-0.052
342.50,0.082
343.00,0.110
343.50,0.042
344.00,0.093
344.50,0.019
345.00,-0.142
345.50,-0.116
346.00,0.046
346.50,0.067
347.00,-0.006
347.50,0.045
348.00,-0.083
348.50,-0.042
349.00,0.032
349.50,0.019
350.00,0.057
350.50,-0.020
351.00,-0.002
351.50,0.024
352.00,0.029
352.50,0.005
353.00,0.012
353.50,0.027
354.00,-0.008
354.50,0.004
355.00,-0.009
355.50,-0.018
356.00,0.035
356.50,-0.003
357.00,0.006
357.50,-0.008
358.00,-0.007
358.50,-0.048
359.00,0.007
359.50,-0.022
360.00,0.002
360.50,0.003
361.00,0.005
361.50,-0.009
362.00,0.009
362.50,0.005
363.00,-0.018
363.50,0.004
364.00,0.007
364.50,0.002
365.00,0.002
365.50,0.002
366.00,0.013
366.50,0.004
367.00,0.013
367.50,-0.002
368.00,0.011
368.50,-0.003
369.00,0.008
369.50,-0.003
370.00,-0.011
370.50,-0.002
371.00,-0.001
371.50,0.002
372.00,-0.010
372.50,0.007
373.00,-0.005
373.50,-0.004
374.00,0.002
374.50,0.003
375.00,-0.001
375.50,0.004
376.00,0.001
376.50,-0.006
377.00,-0.002
377.50,0.007
378.00,-0.004
378.50,0.000
379.00,-0.012
379.50,-0.006
380.00,0.002
380.50,0.003
381.00,0.002
381.50,0.003
382.00,0.001
382.50,0.007
383.00,-0.007
383.50,-0.000
384.00,-0.008
384.50,0.006
385.00,0.008
385.50,-0.001
386.00,-0.008
386.50,-0.009
387.00,-0.003
387.50,0.002
388.00,-0.005
388.50,0.001
389.00,-0.005
389.50,-0.004
390.00,0.001
390.50,0.002
391.00,0.001
391.50,-0.003
392.00,-0.001
392.50,0.001
393.00,-0.005
393.50,-0.002
394.00,-0.000
394.50,-0.009
395.00,0.005
395.50,0.002
396.00,0.001
396.50,0.009
397.00,-0.001
397.50,0.003
398.00,-0.000
398.50,0.001
399.00,0.007
399.50,0.007
400.00,-0.005
400.50,-0.002
401.00,0.001
401.50,-0.001
402.00,-0.000
402.50,-0.004
403.00,-0.004
403.50,0.003
404.00,0.003
404.50,-0.001
405.00,-0.003
405.50,-0.001
406.00,-0.000
406.50,-0.007
407.00,0.006
407.50,-0.001
408.00,0.001
408.50,-0.009
409.00,-0.001
409.50,-0.002
410.00,-0.004
410.50,-0.003
411.00,-0.001
411.50,0.002
412.00,0.001
412.50,-0.000
413.00,0.005
413.50,-0.007
414.00,-0.008
414.50,0.005
415.00,0.000
415.50,-0.006
416.00,-0.003
416.50,0.002
417.00,-0.001
417.50,-0.006
418.00,-0.001
418.50,0.000
419.00,-0.003
419.50,0.002
420.00,-0.004
420.50,-0.008
421.00,-0.002
421.50,0.002
422.00,0.000
422.50,0.003
423.00,0.003
423.50,-0.005
424.00,0.001
424.50,-0.006
425.00,0.000
425.50,-0.002
426.00,-0.001
426.50,-0.004
427.00,-0.004
427.50,0.002
428.00,0.001
428.50,-0.001
429.00,-0.001
429.50,0.002
430.00,0.000
430.50,-0.002
431.00,-0.006
431.50,0.008
432.00,-0.006
432.50,0.008
433.00,-0.001
433.50,0.004
434.00,0.004
434.50,0.003
435.00,-0.006
435.50,-0.006
436.00,-0.003
436.50,0.007
437.00,-0.001
437.50,-0.002
438.00,-0.002
438.50,-0.002
439.00,-0.001
439.50,-0.003
440.00,-0.004
440.50,-0.003
441.00,-0.001
441.50,0.002
442.00,0.002
442.50,0.006
443.00,-0.009
443.50,-0.006
444.00,0.002
444.50,-0.005
445.00,-0.008
445.50,-0.005
446.00,-0.005
446.50,0.003
447.00,-0.005
447.50,-0.008
448.00,-0.001
448.50,0.002
449.00,0.005
449.50,0.004
450.00,0.000
450.50,-0.003
451.00,-0.003
451.50,-0.001
452.00,0.008
452.50,0.001
453.00,-0.008
453.50,-0.001
454.00,-0.006
454.50,-0.006
455.00,-0.001
455.50,-0.001
456.00,0.000
456.50,-0.005
457.00,-0.001
457.50,0.001
458.00,0.006
458.50,0.004
459.00,-0.007
459.50,0.001
460.00,-0.001
460.50,-0.002
461.00,-0.002
461.50,-0.003
462.00,-0.005
462.50,0.003
463.00,0.002
463.50,-0.006
464.00,0.001
464.50,-0.002
465.00,0.004
465.50,-0.005
466.00,0.001
466.50,-0.001
467.00,-0.004
467.50,-0.001
468.00,-0.000
468.50,-0.004
469.00,0.001
469.50,0.002
470.00,0.002
470.50,-0.004
471.00,0.001
471.50,-0.002
472.00,0.000
472.50,0.000
473.00,-0.004
473.50,-0.001
474.00,-0.005
474.50,-0.004
475.00,-0.003
475.50,-0.001
476.00,0.003
476.50,-0.004
477.00,-0.002
477.50,0.003
478.00,0.001
478.50,0.001
479.00,0.000
479.50,-0.004
480.00,0.001
480.50,-0.005
481.00,-0.002
481.50,-0.002
482.00,0.001
482.50,-0.004
483.00,-0.002
483.50,-0.002
484.00,-0.001
484.50,0.003
485.00,-0.001
485.50,0.000
486.00,0.002
486.50,-0.002
487.00,0.001
487.50,-0.000
488.00,-0.001
488.50,-0.000
489.00,-0.003
489.50,-0.006
490.00,-0.003
490.50,0.001
491.00,-0.003
491.50,-0.003
492.00,-0.002
492.50,-0.007
493.00,-0.004
493.50,0.002
494.00,0.003
494.50,0.007
495.00,0.000
495.50,-0.002
496.00,0.000
496.50,0.003
497.00,-0.001
497.50,-0.001
498.00,-0.006
498.50,-0.003
499.00,-0.003
499.50,0.001
500.00,0.000
500.50,-0.000
501.00,0.001
501.50,-0.002
502.00,0.007
502.50,-0.005
503.00,0.005
503.50,0.000
504.00,-0.002
504.50,-0.005
505.00,-0.002
505.50,0.010
506.00,0.000
506.50,0.002
507.00,0.003
507.50,-0.001
508.00,-0.002
508.50,0.008
509.00,-0.001
509.50,-0.005
510.00,-0.005
510.50,-0.003
511.00,-0.001
511.50,0.000
512.00,-0.000
512.50,-0.004
513.00,-0.003
513.50,-0.001
514.00,-0.001
514.50,0.000
515.00,-0.003
515.50,-0.001
516.00,-0.001
516.50,-0.002
517.00,0.003
517.50,-0.002
518.00,-0.001
518.50,0.000
519.00,-0.003
519.50,0.000
520.00,-0.002
520.50,-0.004
521.00,-0.005
521.50,0.003
522.00,0.000
522.50,-0.007
523.00,-0.002
523.50,0.000
524.00,-0.002
524.50,-0.000
525.00,0.003
525.50,-0.002
526.00,0.001
526.50,-0.000
527.00,0.000
527.50,-0.004
528.00,-0.005
528.50,-0.007
529.00,-0.001
529.50,-0.003
530.00,-0.008
530.50,0.004
531.00,0.004
531.50,-0.004
532.00,-0.002
532.50,0.003
533.00,-0.004
533.50,-0.003
534.00,0.001
534.50,-0.002
535.00,0.003
535.50,-0.007
536.00,-0.005
536.50,0.001
537.00,0.001
537.50,-0.004
538.00,0.001
538.50,-0.003
539.00,-0.005
539.50,-0.002
540.00,0.003
540.50,-0.002
541.00,0.001
541.50,0.000
542.00,0.000
542.50,-0.002
543.00,-0.005
543.50,-0.002
544.00,0.001
544.50,-0.001
545.00,-0.000
545.50,0.005
546.00,0.004
546.50,-0.005
547.00,0.000
547.50,-0.003
548.00,-0.001
548.50,-0.000
549.00,-0.004
549.50,0.002
550.00,-0.000
550.50,-0.003
551.00,0.002
551.50,-0.001
552.00,-0.002
552.50,0.002
553.00,-0.007
553.50,0.001
554.00,-0.000
554.50,0.002
555.00,-0.000
555.50,-0.001
556.00,-0.002
556.50,0.003
557.00,0.001
557.50,0.001
558.00,0.001
558.50,-0.002
559.00,0.000
559.50,-0.005
560.00,-0.000
560.50,-0.004
561.00,-0.001
561.50,0.001
562.00,-0.000
562.50,-0.003
563.00,-0.000
563.50,-0.001
564.00,0.002
564.50,-0.002
565.00,0.001
565.50,-0.000
566.00,0.001
566.50,0.000
567.00,-0.003
567.50,-0.005
568.00,0.002
568.50,-0.001
569.00,-0.002
569.50,0.000
570.00,0.003
570.50,0.001
571.00,-0.000
571.50,0.001
572.00,-0.002
572.50,0.001
573.00,0.000
573.50,-0.002
574.00,0.001
574.50,0.001
575.00,-0.000
575.50,0.000
576.00,0.003
576.50,0.003
577.00,0.002
577.50,-0.001
578.00,-0.005
578.50,-0.001
579.00,0.001
579.50,0.001
580.00,0.004
580.50,-0.004
581.00,0.002
581.50,-0.002
582.00,-0.000
582.50,0.000
583.00,0.002
583.50,-0.000
584.00,0.002
584.50,-0.000
585.00,-0.001
585.50,0.003
586.00,0.000
586.50,0.001
587.00,-0.001
587.50,-0.002
588.00,0.003
588.50,0.001
589.00,0.001
589.50,0.002
590.00,0.002
590.50,0.001
591.00,0.002
591.50,0.002
592.00,0.001
592.50,0.003
593.00,-0.000
593.50,0.002
594.00,0.002
594.50,0.001
595.00,0.003
595.50,0.006
596.00,0.011
596.50,0.009
597.00,0.010
597.50,0.020
598.00,0.025
598.50,0.035
599.00,0.043
599.50,0.057
600.00,0.072
600.50,0.096
601.00,0.118
601.50,0.160
602.00,0.198
602.50,0.248
603.00,0.323
603.50,0.400
604.00,0.503
604.50,0.637
605.00,0.802
605.50,0.979
606.00,1.192
606.50,1.445
607.00,1.772
607.50,2.128
608.00,2.555
608.50,3.024
609.00,3.594
609.50,4.214
610.00,4.918
610.50,5.666
611.00,6.608
611.50,7.583
612.00,8.605
612.50,9.765
613.00,11.055
613.50,12.352
614.00,13.685
614.50,15.268
615.00,16.755
615.50,18.384
616.00,20.029
616.50,21.683
617.00,23.421
617.50,25.247
618.00,27.156
618.50,29.026
619.00,30.869
619.50,32.578
620.00,34.549
620.50,36.428
621.00,38.397
621.50,40.244
622.00,42.107
622.50,43.888
623.00,45.531
623.50,47.185
624.00,48.991
624.50,50.587
625.00,52.348
625.50,53.681
626.00,55.251
626.50,56.653
627.00,58.060
627.50,59.477
628.00,60.768
628.50,62.110
629.00,63.308
629.50,64.372
630.00,65.422
630.50,66.551
631.00,67.667
631.50,68.604
632.00,69.498
632.50,70.353
633.00,71.054
633.50,72.152
634.00,72.741
634.50,73.544
635.00,74.086
635.50,74.733
636.00,75.619
636.50,76.051
637.00,76.645
637.50,77.203
638.00,77.771
638.50,78.338
639.00,78.753
639.50,79.293
640.00,79.422
