"sample_h - RawData"
"Wavelength nm.","T%"
200.00,-0.064
200.50,0.084
201.00,0.019
201.50,-0.021
202.00,0.097
202.50,0.194
203.00,-0.020
203.50,0.070
204.00,0.000
204.50,-0.049
205.00,-0.098
205.50,0.138
206.00,0.004
206.50,0.062
207.00,0.031
207.50,-0.011
208.00,0.063
208.50,0.014
209.00,0.011
209.50,0.024
210.00,-0.045
210.50,0.042
211.00,0.020
211.50,0.015
212.00,0.065
212.50,0.070
213.00,0.009
213.50,0.036
214.00,0.042
214.50,-0.003
215.00,0.038
215.50,0.006
216.00,0.021
216.50,0.041
217.00,0.021
217.50,0.026
218.00,0.016
218.50,0.026
219.00,0.025
219.50,0.023
220.00,0.035
220.50,0.025
221.00,0.015
221.50,0.012
222.00,0.037
222.50,0.036
223.00,0.027
223.50,0.019
224.00,0.039
224.50,0.027
225.00,0.022
225.50,0.052
226.00,0.031
226.50,0.019
227.00,0.029
227.50,0.035
228.00,0.008
228.50,0.014
229.00,0.036
229.50,0.022
230.00,0.027
230.50,0.033
231.00,0.033
231.50,0.026
232.00,0.032
232.50,0.022
233.00,0.024
233.50,0.030
234.00,0.016
234.50,0.040
235.00,0.020
235.50,0.031
236.00,0.034
236.50,0.042
237.00,0.020
237.50,0.031
238.00,0.017
238.50,0.027
239.00,0.018
239.50,0.021
240.00,0.013
240.50,0.016
241.00,0.017
241.50,0.009
242.00,0.025
242.50,0.031
243.00,0.022
243.50,0.026
244.00,0.037
244.50,0.028
245.00,0.020
245.50,0.025
246.00,0.020
246.50,0.027
247.00,0.019
247.50,0.014
248.00,0.020
248.50,0.015
249.00,0.020
249.50,0.030
250.00,0.026
250.50,0.031
251.00,0.019
251.50,0.025
252.00,0.029
252.50,0.028
253.00,0.022
253.50,0.022
254.00,0.023
254.50,0.015
255.00,0.022
255.50,0.017
256.00,0.012
256.50,0.028
257.00,0.022
257.50,0.025
258.00,0.032
258.50,0.022
259.00,0.030
259.50,0.017
260.00,0.026
260.50,0.016
261.00,0.014
261.50,0.034
262.00,0.025
262.50,0.014
263.00,0.022
263.50,0.025
264.00,0.015
264.50,0.035
265.00,0.022
265.50,0.015
266.00,0.022
266.50,0.021
267.00,0.023
267.50,0.027
268.00,0.018
268.50,0.020
269.00,0.026
269.50,0.024
270.00,0.010
270.50,0.028
271.00,0.019
271.50,0.017
272.00,0.022
272.50,0.024
273.00,0.029
273.50,0.029
274.00,0.022
274.50,0.012
275.00,0.023
275.50,0.023
276.00,0.024
276.50,0.031
277.00,0.027
277.50,0.021
278.00,0.016
278.50,0.026
279.00,0.025
279.50,0.024
280.00,0.028
280.50,0.021
281.00,0.018
281.50,0.028
282.00,0.031
282.50,0.014
283.00,0.023
283.50,0.027
284.00,0.020
284.50,0.027
285.00,0.016
285.50,0.025
286.00,0.026
286.50,0.026
287.00,0.017
287.50,0.020
288.00,0.019
288.50,0.026
289.00,0.030
289.50,0.010
290.00,0.007
290.50,0.012
291.00,0.024
291.50,0.018
292.00,0.023
292.50,0.022
293.00,0.012
293.50,0.019
294.00,0.020
294.50,0.019
295.00,0.018
295.50,0.019
296.00,0.007
296.50,0.013
297.00,0.015
297.50,0.019
298.00,0.026
298.50,0.025
299.00,0.022
299.50,0.020
300.00,0.017
300.50,0.024
301.00,0.029
301.50,0.036
302.00,0.038
302.50,0.037
303.00,0.029
303.50,0.032
304.00,0.037
304.50,0.042
305.00,0.027
305.50,0.041
306.00,0.014
306.50,0.030
307.00,0.049
307.50,0.040
308.00,0.045
308.50,0.034
309.00,0.032
309.50,0.011
