"sample_i - RawData"
"Wavelength nm.","T%"
200.00,0.003
200.50,-0.005
201.00,-0.021
201.50,-0.002
202.00,-0.069
202.50,0.085
203.00,0.020
203.50,-0.057
204.00,0.076
204.50,0.004
205.00,0.077
205.50,-0.016
206.00,0.024
206.50,0.072
207.00,0.061
207.50,-0.088
208.00,-0.017
208.50,0.035
209.00,0.064
209.50,-0.027
210.00,0.031
210.50,0.012
211.00,0.018
211.50,-0.029
212.00,0.024
212.50,0.024
213.00,0.028
213.50,0.012
214.00,-0.009
214.50,0.035
215.00,0.014
215.50,-0.000
216.00,-0.003
216.50,0.006
217.00,0.030
217.50,0.001
218.00,0.008
218.50,0.003
219.00,0.012
219.50,-0.011
220.00,0.006
220.50,0.019
221.00,0.005
221.50,0.028
222.00,0.019
222.50,-0.022
223.00,-0.009
223.50,-0.026
224.00,0.016
224.50,-0.019
225.00,0.020
225.50,-0.009
226.00,-0.010
226.50,-0.006
227.00,0.019
227.50,-0.003
228.00,0.010
228.50,-0.007
229.00,-0.018
229.50,0.003
230.00,0.005
230.50,-0.002
231.00,0.008
231.50,-0.008
232.00,-0.001
232.50,0.001
233.00,0.007
233.50,0.006
234.00,0.018
234.50,0.005
235.00,-0.013
235.50,0.001
236.00,-0.002
236.50,-0.000
237.00,-0.001
237.50,0.011
238.00,0.007
238.50,-0.002
239.00,-0.006
239.50,-0.002
240.00,0.003
240.50,0.000
241.00,-0.013
241.50,0.000
242.00,0.006
242.50,0.004
243.00,0.000
243.50,0.001
244.00,0.010
244.50,-0.003
245.00,0.006
245.50,-0.002
246.00,-0.003
246.50,-0.001
247.00,-0.008
247.50,0.008
248.00,-0.002
248.50,0.011
249.00,-0.007
249.50,0.010
250.00,0.003
250.50,-0.004
251.00,0.007
251.50,0.009
252.00,0.001
252.50,0.012
253.00,0.003
253.50,0.003
254.00,-0.004
254.50,0.004
255.00,-0.004
255.50,-0.007
256.00,0.001
256.50,0.006
257.00,0.006
257.50,0.009
258.00,-0.004
258.50,0.002
259.00,-0.002
259.50,-0.002
260.00,0.005
260.50,-0.004
261.00,-0.003
261.50,-0.011
262.00,-0.009
262.50,0.005
263.00,0.004
263.50,-0.000
264.00,0.005
264.50,-0.003
265.00,-0.011
265.50,-0.001
266.00,0.002
266.50,-0.005
267.00,0.009
267.50,0.001
268.00,-0.004
268.50,-0.001
269.00,0.004
269.50,-0.002
270.00,-0.005
270.50,0.002
271.00,-0.003
271.50,-0.000
272.00,-0.005
272.50,0.002
273.00,-0.007
273.50,0.002
274.00,-0.000
274.50,-0.007
275.00,0.004
275.50,0.001
276.00,-0.002
276.50,-0.002
277.00,0.009
277.50,-0.007
278.00,-0.007
278.50,0.001
279.00,-0.010
279.50,-0.002
280.00,0.005
280.50,0.001
281.00,-0.006
281.50,0.009
282.00,-0.000
282.50,-0.008
283.00,0.011
283.50,-0.011
284.00,-0.006
284.50,0.002
285.00,0.000
285.50,0.004
286.00,0.000
286.50,-0.002
287.00,0.007
287.50,-0.000
288.00,0.000
288.50,-0.004
289.00,0.005
289.50,0.011
290.00,0.008
290.50,0.012
291.00,-0.001
291.50,-0.011
292.00,0.006
292.50,0.002
293.00,-0.003
293.50,0.009
294.00,0.006
294.50,-0.005
295.00,-0.007
295.50,0.002
296.00,0.003
296.50,-0.009
297.00,0.002
297.50,0.007
298.00,0.007
298.50,0.014
299.00,0.009
299.50,-0.005
300.00,0.001
300.50,-0.006
301.00,0.005
301.50,0.014
302.00,-0.000
302.50,-0.006
303.00,0.017
303.50,0.011
304.00,0.004
304.50,0.002
305.00,-0.012
305.50,0.003
306.00,0.010
306.50,-0.003
307.00,-0.007
307.50,-0.007
308.00,0.004
308.50,-0.005
309.00,-0.002
309.50,-0.002
310.00,-0.005
310.50,-0.001
311.00,0.003
311.50,-0.003
312.00,0.009
312.50,0.016
313.00,0.020
313.50,0.005
314.00,0.013
314.50,0.011
315.00,0.040
315.50,0.049
316.00,0.032
316.50,0.075
317.00,0.103
317.50,0.101
318.00,0.158
318.50,0.144
319.00,0.223
319.50,0.286
320.00,0.335
320.50,0.433
321.00,0.502
321.50,0.613
322.00,0.746
322.50,0.912
323.00,1.102
323.50,1.314
324.00,1.521
324.50,1.816
325.00,2.079
325.50,2.388
326.00,2.820
326.50,3.266
327.00,3.701
327.50,4.160
328.00,4.646
328.50,5.199
329.00,5.844
329.50,6.478
330.00,7.177
330.50,8.038
331.00,8.807
331.50,9.438
332.00,10.279
332.50,11.218
333.00,12.247
333.50,13.156
334.00,14.207
334.50,15.264
335.00,16.342
335.50,17.080
336.00,18.228
336.50,19.451
337.00,20.598
337.50,21.822
338.00,23.066
338.50,24.007
339.00,24.996
339.50,26.227
340.00,27.591
340.50,29.851
341.00,30.250
341.50,31.589
342.00,32.716
342.50,34.415
343.00,36.163
343.50,37.070
344.00,37.163
344.50,38.248
345.00,40.198
345.50,41.662
346.00,41.883
346.50,43.135
347.00,43.764
347.50,44.488
348.00,46.218
348.50,47.461
349.00,48.588
349.50,48.315
350.00,49.979
350.50,50.886
351.00,51.446
351.50,52.693
352.00,53.350
352.50,53.935
353.00,55.132
353.50,55.595
354.00,56.344
354.50,56.988
355.00,57.246
355.50,59.395
356.00,59.082
356.50,59.495
357.00,60.168
357.50,60.418
358.00,61.730
358.50,62.653
359.00,62.696
359.50,63.446
360.00,63.305
360.50,64.451
361.00,64.591
361.50,65.353
362.00,65.696
362.50,65.931
363.00,66.743
363.50,66.669
364.00,67.550
364.50,67.120
365.00,67.472
365.50,68.225
366.00,68.721
366.50,69.107
367.00,69.052
367.50,68.864
368.00,69.408
368.50,69.618
369.00,69.100
369.50,69.186
370.00,69.621
370.50,69.614
371.00,69.433
371.50,69.720
372.00,70.200
372.50,69.153
373.00,69.212
373.50,69.046
374.00,69.028
374.50,68.702
375.00,68.754
375.50,68.091
376.00,67.933
376.50,67.223
377.00,67.419
377.50,67.060
378.00,66.511
378.50,66.482
379.00,66.056
379.50,66.164
380.00,66.148
380.50,66.178
381.00,65.997
381.50,66.009
382.00,65.831
382.50,65.881
383.00,66.074
383.50,66.337
384.00,66.242
384.50,66.426
385.00,66.660
385.50,66.305
386.00,66.610
386.50,66.550
387.00,66.892
387.50,66.738
388.00,66.553
388.50,66.578
389.00,66.373
389.50,66.197
390.00,66.032
390.50,65.854
391.00,65.345
391.50,65.268
392.00,64.933
392.50,64.773
393.00,64.165
393.50,64.054
394.00,63.641
394.50,63.336
395.00,62.902
395.50,61.960
396.00,61.485
396.50,61.159
397.00,60.194
397.50,59.595
398.00,59.344
398.50,58.491
399.00,57.964
399.50,57.111
400.00,56.405
400.50,55.852
401.00,54.826
401.50,54.204
402.00,53.553
402.50,52.538
403.00,51.874
403.50,51.184
404.00,50.217
404.50,49.384
405.00,48.481
405.50,47.385
406.00,46.800
406.50,45.962
407.00,45.150
407.50,44.190
408.00,43.402
408.50,42.481
409.00,41.695
409.50,40.888
410.00,39.889
410.50,39.111
411.00,38.378
411.50,37.365
412.00,36.680
412.50,35.811
413.00,34.972
413.50,34.216
414.00,33.524
414.50,32.595
415.00,31.982
415.50,31.229
416.00,30.446
416.50,29.826
417.00,29.164
417.50,28.471
418.00,27.834
418.50,27.229
419.00,26.589
419.50,25.968
420.00,25.338
420.50,24.819
421.00,24.266
421.50,23.751
422.00,23.184
422.50,22.649
423.00,22.231
423.50,21.714
424.00,21.287
424.50,20.771
425.00,20.348
425.50,19.953
426.00,19.500
426.50,19.142
427.00,18.773
427.50,18.376
428.00,18.087
428.50,17.699
429.00,17.301
429.50,17.037
430.00,16.706
430.50,16.397
431.00,16.140
431.50,15.801
432.00,15.548
432.50,15.288
433.00,15.054
433.50,14.844
434.00,14.537
434.50,14.333
435.00,14.131
435.50,13.955
436.00,13.694
436.50,13.556
437.00,13.286
437.50,13.209
438.00,13.008
438.50,12.882
439.00,12.707
439.50,12.554
440.00,12.446
440.50,12.329
441.00,12.165
441.50,12.072
442.00,11.986
442.50,11.877
443.00,11.754
443.50,11.718
444.00,11.561
444.50,11.437
445.00,11.457
445.50,11.416
446.00,11.339
446.50,11.256
447.00,11.260
447.50,11.152
448.00,11.137
448.50,11.064
449.00,11.080
449.50,11.035
450.00,11.006
450.50,10.949
451.00,10.987
451.50,10.961
452.00,10.922
452.50,10.957
453.00,10.949
453.50,10.935
454.00,10.948
454.50,10.941
455.00,10.987
455.50,10.982
456.00,11.033
456.50,11.011
457.00,11.030
457.50,11.035
458.00,11.105
458.50,11.108
459.00,11.142
459.50,11.214
460.00,11.238
460.50,11.304
461.00,11.360
461.50,11.385
462.00,11.410
462.50,11.496
463.00,11.536
463.50,11.575
464.00,11.623
464.50,11.730
465.00,11.800
465.50,11.787
466.00,11.857
466.50,11.968
467.00,12.029
