"sample_modry - RawData"
"Wavelength nm.","T%"
200.00,0.243
200.50,-0.046
201.00,0.141
201.50,0.020
202.00,0.204
202.50,0.103
203.00,0.157
203.50,-0.005
204.00,0.147
204.50,0.063
205.00,0.155
205.50,0.054
206.00,0.081
206.50,0.056
207.00,0.065
207.50,0.066
208.00,0.061
208.50,-0.003
209.00,0.003
209.50,0.005
210.00,0.122
210.50,0.078
211.00,-0.006
211.50,0.043
212.00,0.022
212.50,0.019
213.00,0.021
213.50,0.058
214.00,0.076
214.50,0.015
215.00,0.085
215.50,-0.009
216.00,0.049
216.50,0.074
217.00,0.073
217.50,0.019
218.00,0.033
218.50,0.037
219.00,0.027
219.50,0.037
220.00,0.036
220.50,0.050
221.00,0.061
221.50,0.044
222.00,0.018
222.50,0.043
223.00,0.038
223.50,0.017
224.00,0.036
224.50,0.041
225.00,0.036
225.50,0.027
226.00,0.025
226.50,0.011
227.00,0.030
227.50,0.034
228.00,0.044
228.50,0.059
229.00,0.042
229.50,0.032
230.00,0.016
230.50,0.047
231.00,0.029
231.50,0.040
232.00,0.040
232.50,0.036
233.00,0.040
233.50,0.042
234.00,0.027
234.50,0.038
235.00,0.033
235.50,0.018
236.00,0.035
236.50,0.030
237.00,0.021
237.50,0.041
238.00,0.042
238.50,0.036
239.00,0.021
239.50,0.049
240.00,0.025
240.50,0.039
241.00,0.038
241.50,0.042
242.00,0.038
242.50,0.032
243.00,0.039
243.50,0.031
244.00,0.047
244.50,0.052
245.00,0.039
245.50,0.034
246.00,0.045
246.50,0.027
247.00,0.044
247.50,0.029
248.00,0.042
248.50,0.030
249.00,0.040
249.50,0.034
250.00,0.031
250.50,0.046
251.00,0.044
251.50,0.029
252.00,0.029
252.50,0.045
253.00,0.031
253.50,0.021
254.00,0.044
254.50,0.020
255.00,0.030
255.50,0.053
256.00,0.033
256.50,0.021
257.00,0.044
257.50,0.033
258.00,0.019
258.50,0.021
259.00,0.041
259.50,0.029
260.00,0.043
260.50,0.037
261.00,0.040
261.50,0.033
262.00,0.040
262.50,0.030
263.00,0.043
263.50,0.026
264.00,0.041
264.50,0.018
265.00,0.035
265.50,0.025
266.00,0.038
266.50,0.025
267.00,0.034
267.50,0.035
268.00,0.036
268.50,0.029
269.00,0.027
269.50,0.029
270.00,0.036
270.50,0.029
271.00,0.038
271.50,0.036
272.00,0.035
272.50,0.036
273.00,0.035
273.50,0.041
274.00,0.040
274.50,0.030
275.00,0.049
275.50,0.033
276.00,0.024
276.50,0.033
277.00,0.036
277.50,0.038
278.00,0.022
278.50,0.020
279.00,0.014
279.50,0.034
280.00,0.036
280.50,0.028
281.00,0.034
281.50,0.032
282.00,0.035
282.50,0.015
283.00,0.026
283.50,0.040
284.00,0.032
284.50,0.024
285.00,0.025
285.50,0.024
286.00,0.029
286.50,0.047
287.00,0.027
287.50,0.026
288.00,0.026
288.50,0.041
289.00,0.020
289.50,0.029
290.00,0.042
290.50,0.038
291.00,0.034
291.50,0.026
292.00,0.016
292.50,0.034
293.00,0.022
293.50,0.020
294.00,0.044
294.50,0.035
295.00,0.009
295.50,0.015
296.00,0.026
296.50,0.040
297.00,0.037
297.50,0.032
298.00,0.031
298.50,0.028
299.00,0.029
299.50,0.030
300.00,0.026
300.50,0.036
301.00,0.040
301.50,0.027
302.00,0.042
302.50,0.017
303.00,0.019
303.50,0.030
304.00,0.021
304.50,0.018
305.00,0.036
305.50,0.025
306.00,0.009
306.50,0.015
307.00,0.042
307.50,0.037
308.00,0.020
308.50,0.037
309.00,0.020
309.50,0.004
310.00,0.043
310.50,0.029
311.00,0.023
311.50,0.026
312.00,0.046
312.50,0.008
313.00,0.010
313.50,0.043
314.00,0.028
314.50,0.020
315.00,0.035
315.50,0.029
316.00,0.036
316.50,0.035
317.00,0.029
317.50,0.025
318.00,0.042
318.50,0.013
319.00,0.013
319.50,0.008
320.00,0.048
320.50,0.033
321.00,0.010
321.50,0.041
322.00,0.025
322.50,0.019
323.00,0.032
323.50,0.032
324.00,0.024
324.50,0.023
325.00,0.042
325.50,0.006
326.00,0.039
326.50,0.018
327.00,0.032
327.50,0.020
328.00,0.048
328.50,0.027
